Disc Threshold [V]	D2, v1J2, 09.12. First	D2, v1J2, 09.12. First
Dwell time [s]	25k shots	25k shots
Number of channels Number of Scans  D2 v 1 J 2 30.1V 3.25A Au 788C Knnew  C Kn  e-2mbar (base 1.5e-2) x=35mm y=35.5mm z=512mm D2/RGA 1.0e-10 torr (base 1.8e-11) 500: 9.3e-9 mbar		power corrected
0	493	0.0181457667584147
0.02	-885	-0.0325740437752475
0.04	11	4.04875120370307E-4
0.06	-1	-3.68068291245734E-5
0.08	-18	-6.62522924242321E-4
0.1	-1	-3.68068291245734E-5
0.12	6	2.2084097474744E-4
0.14	-3	-1.1042048737372E-4
0.16	6	2.2084097474744E-4
0.18	-1	-3.68068291245734E-5
0.2	6	2.2084097474744E-4
0.22	-6	-2.2084097474744E-4
0.24	-8	-2.94454632996587E-4
0.26	2	7.36136582491468E-5
0.28	5	1.84034145622867E-4
0.3	3	1.1042048737372E-4
0.32	9	3.31261462121161E-4
0.34	13	4.78488778619454E-4
0.36	6	2.2084097474744E-4
0.38	-15	-5.52102436868601E-4
0.4	19	6.99329753366895E-4
0.42	12	4.41681949494881E-4
0.44	23	8.46557069865188E-4
0.46	5	1.84034145622867E-4
0.48	-7	-2.57647803872014E-4
0.5	8	2.94454632996587E-4
0.52	16	5.88909265993175E-4
0.54	13	4.78488778619454E-4
0.56	-12	-4.41681949494881E-4
0.58	2	7.36136582491468E-5
0.6	11	4.04875120370307E-4
0.62	0	0
0.64	-6	-2.2084097474744E-4
0.66	21	7.72943411616042E-4
0.68	10	3.68068291245734E-4
0.7	-15	-5.52102436868601E-4
0.72	-12	-4.41681949494881E-4
0.74	15	5.52102436868601E-4
0.76	-1	-3.68068291245734E-5
0.78	8	2.94454632996587E-4
0.8	11	4.04875120370307E-4
0.82	31	0.00114101170286178
0.84	77	0.00283412584259215
0.86	55	0.00202437560185154
0.88	50	0.00184034145622867
0.9	-15	-5.52102436868601E-4
0.92	40	0.00147227316498294
0.94	42	0.00154588682323208
0.96	-19	-6.99329753366895E-4
0.98	0	0
1	104	0.00382791022895563
1.02	66	0.00242925072222184
1.04	-14	-5.15295607744028E-4
1.06	22	8.09750240740615E-4
1.08	8	2.94454632996587E-4
1.1	102	0.00375429657070649
1.12	82	0.00301815998821502
1.14	33	0.00121462536111092
1.16	45	0.0016563073106058
1.18	12	4.41681949494881E-4
1.2	42	0.00154588682323208
1.22	85	0.00312858047558874
1.24	3	1.1042048737372E-4
1.26	-36	-0.00132504584848464
1.28	2	7.36136582491468E-5
1.3	6	2.2084097474744E-4
1.32	17	6.25716095117748E-4
1.34	2	7.36136582491468E-5
1.36	6	2.2084097474744E-4
1.38	9	3.31261462121161E-4
1.4	47	0.00172992096885495
1.42	15	5.52102436868601E-4
1.44	17	6.25716095117748E-4
1.46	15	5.52102436868601E-4
1.48	-8	-2.94454632996587E-4
1.5	-3	-1.1042048737372E-4
1.52	-21	-7.72943411616042E-4
1.54	-22	-8.09750240740615E-4
1.56	-10	-3.68068291245734E-4
1.58	16	5.88909265993175E-4
1.6	16	5.88909265993175E-4
1.62	13	4.78488778619454E-4
1.64	3	1.1042048737372E-4
1.66	4	1.47227316498294E-4
1.68	15	5.52102436868601E-4
1.7	12	4.41681949494881E-4
1.72	7	2.57647803872014E-4
1.74	8	2.94454632996587E-4
1.76	14	5.15295607744028E-4
1.78	-2	-7.36136582491468E-5
1.8	-3	-1.1042048737372E-4
1.82	0	0
1.84	12	4.41681949494881E-4
1.86	13	4.78488778619454E-4
1.88	4	1.47227316498294E-4
1.9	9	3.31261462121161E-4
1.92	7	2.57647803872014E-4
1.94	4	1.47227316498294E-4
1.96	3	1.1042048737372E-4
1.98	-4	-1.47227316498294E-4
2	10	3.68068291245734E-4
2.02	-4	-1.47227316498294E-4
2.04	-18	-6.62522924242321E-4
2.06	-9	-3.31261462121161E-4
2.08	-7	-2.57647803872014E-4
2.1	-7	-2.57647803872014E-4
2.12	0	0
2.14	-7	-2.57647803872014E-4
2.16	8	2.94454632996587E-4
2.18	4	1.47227316498294E-4
2.2	-16	-5.88909265993175E-4
2.22	-22	-8.09750240740615E-4
2.24	-9	-3.31261462121161E-4
2.26	2	7.36136582491468E-5
2.28	-1	-3.68068291245734E-5
2.3	4	1.47227316498294E-4
2.32	-6	-2.2084097474744E-4
2.34	-5	-1.84034145622867E-4
2.36	-4	-1.47227316498294E-4
2.38	11	4.04875120370307E-4
2.4	6	2.2084097474744E-4
2.42	-7	-2.57647803872014E-4
2.44	-11	-4.04875120370307E-4
2.46	0	0
2.48	0	0
2.5	-1	-3.68068291245734E-5
2.52	5	1.84034145622867E-4
2.54	6	2.2084097474744E-4
2.56	7	2.57647803872014E-4
2.58	7	2.57647803872014E-4
2.6	7	2.57647803872014E-4
2.62	8	2.94454632996587E-4
2.64	6	2.2084097474744E-4
2.66	-2	-7.36136582491468E-5
2.68	-2	-7.36136582491468E-5
2.7	0	0
2.72	4	1.47227316498294E-4
2.74	-2	-7.36136582491468E-5
2.76	-2	-7.36136582491468E-5
2.78	-3	-1.1042048737372E-4
2.8	-15	-5.52102436868601E-4
2.82	-8	-2.94454632996587E-4
2.84	6	2.2084097474744E-4
2.86	2	7.36136582491468E-5
2.88	1	3.68068291245734E-5
2.9	2	7.36136582491468E-5
2.92	-3	-1.1042048737372E-4
2.94	-7	-2.57647803872014E-4
2.96	8	2.94454632996587E-4
2.98	7	2.57647803872014E-4
3	5	1.84034145622867E-4
3.02	1	3.68068291245734E-5
3.04	0	0
3.06	-3	-1.1042048737372E-4
3.08	-3	-1.1042048737372E-4
