Disc Threshold [V]	D2, v1J2, 08.12. First	D2, v1J2, 08.12. First
Dwell time [s]	25k shots	25k shots
Number of channels Number of Scans  D2 v 1 J 2 29.2V 3.28A Au 788C Knnew  ?C Kn  e-2mbar (base 1.5e-2) x=35mm y=35.5mm z=512mm D2/RGA 9.0e-10 torr (base 1.6e-11) 500: 9.3e-9 mbar		power corrected
3.48	2	7.27830244962433E-5
3.5	-4	-1.45566048992487E-4
3.52	-3	-1.09174536744365E-4
3.54	-4	-1.45566048992487E-4
3.56	3	1.09174536744365E-4
3.58	0	0
3.6	2	7.27830244962433E-5
3.62	5	1.81957561240608E-4
3.64	-6	-2.1834907348873E-4
3.66	-12	-4.3669814697746E-4
3.68	-4	-1.45566048992487E-4
3.7	-4	-1.45566048992487E-4
3.72	2	7.27830244962433E-5
3.74	-10	-3.63915122481216E-4
3.76	-10	-3.63915122481216E-4
3.78	-1	-3.63915122481216E-5
3.8	1	3.63915122481216E-5
3.82	-3	-1.09174536744365E-4
3.84	3	1.09174536744365E-4
3.86	12	4.3669814697746E-4
3.88	11	4.00306634729338E-4
3.9	12	4.3669814697746E-4
3.92	1	3.63915122481216E-5
3.94	4	1.45566048992487E-4
3.96	0	0
3.98	5	1.81957561240608E-4
4	1	3.63915122481216E-5
4.02	6	2.1834907348873E-4
4.04	9	3.27523610233095E-4
4.06	-1	-3.63915122481216E-5
4.08	-14	-5.09481171473703E-4
4.1	-2	-7.27830244962433E-5
4.12	4	1.45566048992487E-4
4.14	15	5.45872683721824E-4
4.16	8	2.91132097984973E-4
4.18	12	4.3669814697746E-4
4.2	8	2.91132097984973E-4
4.22	7	2.54740585736851E-4
4.24	11	4.00306634729338E-4
4.26	6	2.1834907348873E-4
4.28	-12	-4.3669814697746E-4
4.3	8	2.91132097984973E-4
4.32	8	2.91132097984973E-4
4.34	5	1.81957561240608E-4
4.36	-6	-2.1834907348873E-4
4.38	-2	-7.27830244962433E-5
4.4	-3	-1.09174536744365E-4
4.42	-3	-1.09174536744365E-4
4.44	-7	-2.54740585736851E-4
4.46	-5	-1.81957561240608E-4
4.48	17	6.18655708218068E-4
4.5	17	6.18655708218068E-4
4.52	-3	-1.09174536744365E-4
4.54	-16	-5.82264195969946E-4
4.56	-1	-3.63915122481216E-5
4.58	2	7.27830244962433E-5
4.6	-5	-1.81957561240608E-4
4.62	-2	-7.27830244962433E-5
4.64	-3	-1.09174536744365E-4
4.66	-4	-1.45566048992487E-4
4.68	3	1.09174536744365E-4
4.7	0	0
4.72	4	1.45566048992487E-4
4.74	-4	-1.45566048992487E-4
4.76	-6	-2.1834907348873E-4
4.78	-2	-7.27830244962433E-5
4.8	1	3.63915122481216E-5
4.82	2	7.27830244962433E-5
4.84	-2	-7.27830244962433E-5
4.86	8	2.91132097984973E-4
4.88	7	2.54740585736851E-4
4.9	-9	-3.27523610233095E-4
4.92	-6	-2.1834907348873E-4
4.94	-7	-2.54740585736851E-4
4.96	-9	-3.27523610233095E-4
4.98	-6	-2.1834907348873E-4
5	-2	-7.27830244962433E-5
5.02	3	1.09174536744365E-4
5.04	-7	-2.54740585736851E-4
5.06	-5	-1.81957561240608E-4
5.08	3	1.09174536744365E-4
5.1	-7	-2.54740585736851E-4
5.12	-6	-2.1834907348873E-4
5.14	3	1.09174536744365E-4
5.16	-5	-1.81957561240608E-4
5.18	8	2.91132097984973E-4
5.2	12	4.3669814697746E-4
5.22	-3	-1.09174536744365E-4
5.24	0	0
5.26	19	6.91438732714311E-4
5.28	0	0
5.3	-1	-3.63915122481216E-5
5.32	9	3.27523610233095E-4
5.34	-3	-1.09174536744365E-4
5.36	0	0
5.38	9	3.27523610233095E-4
5.4	5	1.81957561240608E-4
5.42	10	3.63915122481216E-4
5.44	7	2.54740585736851E-4
5.46	-3	-1.09174536744365E-4
5.48	-2	-7.27830244962433E-5
5.5	-7	-2.54740585736851E-4
5.52	-12	-4.3669814697746E-4
5.54	-8	-2.91132097984973E-4
5.56	-12	-4.3669814697746E-4
5.58	6	2.1834907348873E-4
5.6	4	1.45566048992487E-4
5.62	2	7.27830244962433E-5
5.64	-3	-1.09174536744365E-4
5.66	0	0
5.68	-1	-3.63915122481216E-5
5.7	-1	-3.63915122481216E-5
5.72	2	7.27830244962433E-5
5.74	10	3.63915122481216E-4
5.76	6	2.1834907348873E-4
5.78	8	2.91132097984973E-4
5.8	3	1.09174536744365E-4
5.82	4	1.45566048992487E-4
5.84	16	5.82264195969946E-4
5.86	9	3.27523610233095E-4
5.88	11	4.00306634729338E-4
5.9	7	2.54740585736851E-4
5.92	-2	-7.27830244962433E-5
5.94	-9	-3.27523610233095E-4
5.96	-7	-2.54740585736851E-4
5.98	22	8.00613269458676E-4
6	17	6.18655708218068E-4
6.02	6	2.1834907348873E-4
6.04	4	1.45566048992487E-4
6.06	5	1.81957561240608E-4
6.08	1	3.63915122481216E-5
6.1	5	1.81957561240608E-4
6.12	3	1.09174536744365E-4
6.14	0	0
6.16	-6	-2.1834907348873E-4
6.18	-4	-1.45566048992487E-4
6.2	-8	-2.91132097984973E-4
6.22	-13	-4.73089659225581E-4
6.24	1	3.63915122481216E-5
6.26	6	2.1834907348873E-4
6.28	6	2.1834907348873E-4
6.3	6	2.1834907348873E-4
6.32	10	3.63915122481216E-4
6.34	17	6.18655708218068E-4
6.36	6	2.1834907348873E-4
6.38	9	3.27523610233095E-4
6.4	22	8.00613269458676E-4
6.42	11	4.00306634729338E-4
6.44	22	8.00613269458676E-4
6.46	16	5.82264195969946E-4
6.48	8	2.91132097984973E-4
6.5	-2	-7.27830244962433E-5
6.52	-10	-3.63915122481216E-4
6.54	19	6.91438732714311E-4
6.56	17	6.18655708218068E-4
6.58	10	3.63915122481216E-4
6.6	21	7.64221757210554E-4
6.62	11	4.00306634729338E-4
6.64	8	2.91132097984973E-4
6.66	25	9.09787806203041E-4
6.68	16	5.82264195969946E-4
6.7	10	3.63915122481216E-4
6.72	1	3.63915122481216E-5
6.74	6	2.1834907348873E-4
6.76	-17	-6.18655708218068E-4
6.78	-3	-1.09174536744365E-4
6.8	13	4.73089659225581E-4
6.82	7	2.54740585736851E-4
6.84	3	1.09174536744365E-4
6.86	7	2.54740585736851E-4
6.88	11	4.00306634729338E-4
6.9	7	2.54740585736851E-4
6.92	13	4.73089659225581E-4
6.94	3	1.09174536744365E-4
6.96	12	4.3669814697746E-4
6.98	-5	-1.81957561240608E-4
7	1	3.63915122481216E-5
7.02	4	1.45566048992487E-4
7.04	13	4.73089659225581E-4
7.06	-6	-2.1834907348873E-4
7.08	-5	-1.81957561240608E-4
7.1	0	0
7.12	23	8.37004781706798E-4
7.14	24	8.73396293954919E-4
7.16	-5	-1.81957561240608E-4
7.18	-25	-9.09787806203041E-4
7.2	-21	-7.64221757210554E-4
7.22	-5	-1.81957561240608E-4
7.24	6	2.1834907348873E-4
7.26	15	5.45872683721824E-4
7.28	13	4.73089659225581E-4
7.3	13	4.73089659225581E-4
7.32	19	6.91438732714311E-4
7.34	9	3.27523610233095E-4
7.36	6	2.1834907348873E-4
7.38	4	1.45566048992487E-4
7.4	-2	-7.27830244962433E-5
7.42	-4	-1.45566048992487E-4
7.44	3	1.09174536744365E-4
7.46	9	3.27523610233095E-4
7.48	16	5.82264195969946E-4
7.5	13	4.73089659225581E-4
7.52	10	3.63915122481216E-4
7.54	15	5.45872683721824E-4
7.56	15	5.45872683721824E-4
7.58	27	9.82570830699284E-4
7.6	20	7.27830244962433E-4
7.62	3	1.09174536744365E-4
7.64	-18	-6.55047220466189E-4
7.66	-10	-3.63915122481216E-4
7.68	4	1.45566048992487E-4
7.7	10	3.63915122481216E-4
7.72	10	3.63915122481216E-4
7.74	-7	-2.54740585736851E-4
7.76	-7	-2.54740585736851E-4
7.78	-16	-5.82264195969946E-4
7.8	-16	-5.82264195969946E-4
7.82	-10	-3.63915122481216E-4
7.84	3	1.09174536744365E-4
7.86	18	6.55047220466189E-4
7.88	14	5.09481171473703E-4
7.9	9	3.27523610233095E-4
7.92	11	4.00306634729338E-4
7.94	5	1.81957561240608E-4
7.96	-3	-1.09174536744365E-4
7.98	-9	-3.27523610233095E-4
8	5	1.81957561240608E-4
8.02	-1	-3.63915122481216E-5
8.04	12	4.3669814697746E-4
8.06	21	7.64221757210554E-4
8.08	9	3.27523610233095E-4
8.1	-8	-2.91132097984973E-4
8.12	-14	-5.09481171473703E-4
8.14	9	3.27523610233095E-4
8.16	14	5.09481171473703E-4
8.18	0	0
8.2	1	3.63915122481216E-5
8.22	-4	-1.45566048992487E-4
8.24	0	0
8.26	2	7.27830244962433E-5
8.28	23	8.37004781706798E-4
8.3	9	3.27523610233095E-4
8.32	19	6.91438732714311E-4
8.34	14	5.09481171473703E-4
8.36	20	7.27830244962433E-4
8.38	17	6.18655708218068E-4
8.4	24	8.73396293954919E-4
8.42	25	9.09787806203041E-4
8.44	12	4.3669814697746E-4
8.46	-6	-2.1834907348873E-4
8.48	3	1.09174536744365E-4
8.5	18	6.55047220466189E-4
8.52	7	2.54740585736851E-4
8.54	5	1.81957561240608E-4
8.56	17	6.18655708218068E-4
8.58	22	8.00613269458676E-4
8.6	24	8.73396293954919E-4
8.62	20	7.27830244962433E-4
8.64	39	0.00141926897767674
8.66	29	0.00105535385519553
8.68	29	0.00105535385519553
8.7	48	0.00174679258790984
8.72	36	0.00131009444093238
8.74	31	0.00112813687969177
8.76	34	0.00123731141643614
8.78	38	0.00138287746542862
8.8	55	0.00200153317364669
8.82	42	0.00152844351442111
8.84	61	0.00221988224713542
8.86	55	0.00200153317364669
8.88	56	0.00203792468589481
8.9	39	0.00141926897767674
8.92	34	0.00123731141643614
8.94	39	0.00141926897767674
8.96	52	0.00189235863690232
8.98	48	0.00174679258790984
9	67	0.00243823132062415
9.02	63	0.00229266527163166
9.04	51	0.0018559671246542
9.06	63	0.00229266527163166
9.08	72	0.00262018888186476
9.1	62	0.00225627375938354
9.12	67	0.00243823132062415
9.14	83	0.0030204955165941
9.16	104	0.00378471727380465
9.18	77	0.00280214644310537
9.2	88	0.0032024530778347
9.22	97	0.0035299766880678
9.24	107	0.00389389181054901
9.26	94	0.00342080215132343
9.28	70	0.00254740585736851
9.3	45	0.00163761805116547
9.32	72	0.00262018888186476
9.34	87	0.00316606156558658
9.36	74	0.002692971906361
9.38	100	0.00363915122481216
9.4	86	0.00312967005333846
9.42	78	0.00283853795535349
9.44	110	0.00400306634729338
9.46	98	0.00356636820031592
9.48	92	0.00334801912682719
9.5	101	0.00367554273706029
9.52	102	0.00371193424930841
9.54	68	0.00247462283287227
9.56	65	0.00236544829612791
9.58	85	0.00309327854109034
9.6	104	0.00378471727380465
9.62	69	0.00251101434512039
9.64	86	0.00312967005333846
9.66	97	0.0035299766880678
9.68	126	0.00458533054326333
9.7	91	0.00331162761457907
9.72	79	0.00287492946760161
9.74	83	0.0030204955165941
9.76	77	0.00280214644310537
9.78	88	0.0032024530778347
9.8	109	0.00396667483504526
9.82	80	0.00291132097984973
9.84	98	0.00356636820031592
9.86	87	0.00316606156558658
9.88	86	0.00312967005333846
9.9	93	0.00338441063907531
9.92	59	0.00214709922263918
9.94	62	0.00225627375938354
9.96	60	0.0021834907348873
9.98	77	0.00280214644310537
10	93	0.00338441063907531
10.02	80	0.00291132097984973
10.04	77	0.00280214644310537
10.06	89	0.00323884459008283
10.08	92	0.00334801912682719
10.1	37	0.0013464859531805
10.12	63	0.00229266527163166
10.14	53	0.00192875014915045
10.16	73	0.00265658039411288
10.18	54	0.00196514166139857
10.2	46	0.0016740095634136
10.22	68	0.00247462283287227
10.24	53	0.00192875014915045
10.26	54	0.00196514166139857
10.28	75	0.00272936341860912
10.3	66	0.00240183980837603
10.32	59	0.00214709922263918
10.34	62	0.00225627375938354
10.36	62	0.00225627375938354
10.38	48	0.00174679258790984
10.4	47	0.00171040107566172
10.42	55	0.00200153317364669
10.44	32	0.00116452839193989
10.46	45	0.00163761805116547
10.48	39	0.00141926897767674
10.5	30	0.00109174536744365
10.52	32	0.00116452839193989
10.54	48	0.00174679258790984
10.56	54	0.00196514166139857
10.58	56	0.00203792468589481
10.6	57	0.00207431619814293
10.62	31	0.00112813687969177
10.64	26	9.46179318451162E-4
10.66	25	9.09787806203041E-4
10.68	23	8.37004781706798E-4
10.7	29	0.00105535385519553
10.72	30	0.00109174536744365
10.74	24	8.73396293954919E-4
10.76	21	7.64221757210554E-4
10.78	49	0.00178318410015796
10.8	39	0.00141926897767674
10.82	39	0.00141926897767674
10.84	33	0.00120091990418801
10.86	16	5.82264195969946E-4
10.88	20	7.27830244962433E-4
10.9	40	0.00145566048992487
10.92	30	0.00109174536744365
10.94	23	8.37004781706798E-4
10.96	28	0.00101896234294741
10.98	27	9.82570830699284E-4
11	28	0.00101896234294741
11.02	27	9.82570830699284E-4
11.04	16	5.82264195969946E-4
11.06	26	9.46179318451162E-4
11.08	18	6.55047220466189E-4
11.1	15	5.45872683721824E-4
