Time [µs]	D2, v1J2, 04.12.	D2, v1J2, 04.12.
	25k shots	25k shots
Laser Power [mJ]		power corrected
0	--	--
0.02	--	--
0.04	--	--
0.06	--	--
0.08	--	--
0.1	--	--
0.12	--	--
0.14	--	--
0.16	--	--
0.18	--	--
0.2	--	--
0.22	--	--
0.24	--	--
0.26	--	--
0.28	--	--
0.3	--	--
0.32	--	--
0.34	--	--
0.36	--	--
0.38	--	--
0.4	--	--
0.42	--	--
0.44	--	--
0.46	--	--
0.48	--	--
0.5	--	--
0.52	--	--
0.54	--	--
0.56	--	--
0.58	--	--
0.6	--	--
0.62	--	--
0.64	--	--
0.66	--	--
0.68	--	--
0.7	--	--
0.72	--	--
0.74	--	--
0.76	--	--
0.78	--	--
0.8	--	--
0.82	--	--
0.84	--	--
0.86	--	--
0.88	--	--
0.9	--	--
0.92	--	--
0.94	--	--
0.96	--	--
0.98	--	--
1	--	--
1.02	--	--
1.04	--	--
1.06	--	--
1.08	--	--
1.1	--	--
1.12	--	--
1.14	--	--
1.16	--	--
1.18	--	--
1.2	--	--
1.22	--	--
1.24	--	--
1.26	--	--
1.28	--	--
1.3	--	--
1.32	--	--
1.34	--	--
1.36	--	--
1.38	--	--
1.4	--	--
1.42	--	--
1.44	--	--
1.46	--	--
1.48	--	--
1.5	--	--
1.52	--	--
1.54	--	--
1.56	--	--
1.58	--	--
1.6	--	--
1.62	10	3.30284019283403E-4
1.64	7	2.31198813498382E-4
1.66	6	1.98170411570042E-4
1.68	-18	-5.94511234710126E-4
1.7	-5	-1.65142009641702E-4
1.72	40	0.00132113607713361
1.74	39	0.00128810767520527
1.76	8	2.64227215426723E-4
1.78	2	6.60568038566807E-5
1.8	-5	-1.65142009641702E-4
1.82	15	4.95426028925105E-4
1.84	3	9.9085205785021E-5
1.86	17	5.61482832781786E-4
1.88	13	4.29369225068424E-4
1.9	9	2.97255617355063E-4
1.92	10	3.30284019283403E-4
1.94	9	2.97255617355063E-4
1.96	4	1.32113607713361E-4
1.98	25	8.25710048208508E-4
2	19	6.27539636638466E-4
2.02	32	0.00105690886170689
2.04	16	5.28454430853445E-4
2.06	13	4.29369225068424E-4
2.08	12	3.96340823140084E-4
2.1	22	7.26624842423487E-4
2.12	20	6.60568038566807E-4
2.14	16	5.28454430853445E-4
2.16	29	9.5782365592187E-4
2.18	-2	-6.60568038566807E-5
2.2	14	4.62397626996765E-4
2.22	10	3.30284019283403E-4
2.24	8	2.64227215426723E-4
2.26	6	1.98170411570042E-4
2.28	-10	-3.30284019283403E-4
2.3	5	1.65142009641702E-4
2.32	7	2.31198813498382E-4
2.34	5	1.65142009641702E-4
2.36	3	9.9085205785021E-5
2.38	0	0
2.4	30	9.9085205785021E-4
2.42	17	5.61482832781786E-4
2.44	34	0.00112296566556357
2.46	34	0.00112296566556357
2.48	32	0.00105690886170689
2.5	1	3.30284019283403E-5
2.52	0	0
2.54	-15	-4.95426028925105E-4
2.56	-10	-3.30284019283403E-4
2.58	-6	-1.98170411570042E-4
2.6	-7	-2.31198813498382E-4
2.62	-5	-1.65142009641702E-4
2.64	-11	-3.63312421211744E-4
2.66	-14	-4.62397626996765E-4
2.68	9	2.97255617355063E-4
2.7	24	7.92681646280168E-4
2.72	1	3.30284019283403E-5
2.74	11	3.63312421211744E-4
2.76	12	3.96340823140084E-4
2.78	-8	-2.64227215426723E-4
2.8	15	4.95426028925105E-4
2.82	13	4.29369225068424E-4
2.84	-12	-3.96340823140084E-4
2.86	-6	-1.98170411570042E-4
2.88	2	6.60568038566807E-5
2.9	8	2.64227215426723E-4
2.92	22	7.26624842423487E-4
2.94	15	4.95426028925105E-4
2.96	12	3.96340823140084E-4
2.98	3	9.9085205785021E-5
3	19	6.27539636638466E-4
3.02	21	6.93596440495147E-4
3.04	12	3.96340823140084E-4
3.06	12	3.96340823140084E-4
3.08	4	1.32113607713361E-4
3.1	8	2.64227215426723E-4
3.12	-8	-2.64227215426723E-4
3.14	2	6.60568038566807E-5
3.16	26	8.58738450136849E-4
3.18	23	7.59653244351828E-4
3.2	14	4.62397626996765E-4
3.22	-2	-6.60568038566807E-5
3.24	16	5.28454430853445E-4
3.26	6	1.98170411570042E-4
3.28	14	4.62397626996765E-4
3.3	11	3.63312421211744E-4
3.32	9	2.97255617355063E-4
3.34	-7	-2.31198813498382E-4
3.36	-4	-1.32113607713361E-4
3.38	-1	-3.30284019283403E-5
3.4	23	7.59653244351828E-4
3.42	30	9.9085205785021E-4
3.44	1	3.30284019283403E-5
3.46	6	1.98170411570042E-4
3.48	-3	-9.9085205785021E-5
3.5	15	4.95426028925105E-4
3.52	11	3.63312421211744E-4
3.54	6	1.98170411570042E-4
3.56	9	2.97255617355063E-4
3.58	2	6.60568038566807E-5
3.6	-3	-9.9085205785021E-5
3.62	-6	-1.98170411570042E-4
3.64	7	2.31198813498382E-4
3.66	-4	-1.32113607713361E-4
3.68	11	3.63312421211744E-4
3.7	7	2.31198813498382E-4
3.72	23	7.59653244351828E-4
3.74	8	2.64227215426723E-4
3.76	12	3.96340823140084E-4
3.78	11	3.63312421211744E-4
3.8	13	4.29369225068424E-4
3.82	23	7.59653244351828E-4
3.84	5	1.65142009641702E-4
3.86	6	1.98170411570042E-4
3.88	0	0
3.9	10	3.30284019283403E-4
3.92	15	4.95426028925105E-4
3.94	-3	-9.9085205785021E-5
3.96	-3	-9.9085205785021E-5
3.98	3	9.9085205785021E-5
4	-4	-1.32113607713361E-4
4.02	11	3.63312421211744E-4
4.04	12	3.96340823140084E-4
4.06	0	0
4.08	-1	-3.30284019283403E-5
4.1	20	6.60568038566807E-4
4.12	9	2.97255617355063E-4
4.14	-5	-1.65142009641702E-4
4.16	7	2.31198813498382E-4
4.18	9	2.97255617355063E-4
4.2	11	3.63312421211744E-4
4.22	22	7.26624842423487E-4
4.24	13	4.29369225068424E-4
4.26	-4	-1.32113607713361E-4
4.28	-4	-1.32113607713361E-4
4.3	15	4.95426028925105E-4
4.32	3	9.9085205785021E-5
4.34	6	1.98170411570042E-4
4.36	-4	-1.32113607713361E-4
4.38	3	9.9085205785021E-5
4.4	14	4.62397626996765E-4
4.42	9	2.97255617355063E-4
4.44	10	3.30284019283403E-4
4.46	16	5.28454430853445E-4
4.48	-15	-4.95426028925105E-4
4.5	4	1.32113607713361E-4
4.52	9	2.97255617355063E-4
4.54	-14	-4.62397626996765E-4
4.56	-10	-3.30284019283403E-4
4.58	4	1.32113607713361E-4
4.6	14	4.62397626996765E-4
4.62	15	4.95426028925105E-4
4.64	16	5.28454430853445E-4
4.66	6	1.98170411570042E-4
4.68	8	2.64227215426723E-4
4.7	15	4.95426028925105E-4
4.72	-2	-6.60568038566807E-5
4.74	14	4.62397626996765E-4
4.76	8	2.64227215426723E-4
4.78	4	1.32113607713361E-4
4.8	0	0
4.82	17	5.61482832781786E-4
4.84	-7	-2.31198813498382E-4
4.86	19	6.27539636638466E-4
4.88	26	8.58738450136849E-4
4.9	17	5.61482832781786E-4
4.92	27	8.91766852065189E-4
4.94	12	3.96340823140084E-4
4.96	4	1.32113607713361E-4
4.98	13	4.29369225068424E-4
5	-4	-1.32113607713361E-4
5.02	-6	-1.98170411570042E-4
5.04	-18	-5.94511234710126E-4
5.06	-5	-1.65142009641702E-4
5.08	-4	-1.32113607713361E-4
5.1	-11	-3.63312421211744E-4
5.12	22	7.26624842423487E-4
5.14	12	3.96340823140084E-4
5.16	17	5.61482832781786E-4
5.18	33	0.00108993726363523
5.2	15	4.95426028925105E-4
5.22	-8	-2.64227215426723E-4
5.24	2	6.60568038566807E-5
5.26	-2	-6.60568038566807E-5
5.28	0	0
5.3	10	3.30284019283403E-4
5.32	29	9.5782365592187E-4
5.34	20	6.60568038566807E-4
5.36	28	9.24795253993529E-4
5.38	20	6.60568038566807E-4
5.4	31	0.00102388045977855
5.42	25	8.25710048208508E-4
5.44	33	0.00108993726363523
5.46	13	4.29369225068424E-4
5.48	8	2.64227215426723E-4
5.5	23	7.59653244351828E-4
5.52	19	6.27539636638466E-4
5.54	0	0
5.56	12	3.96340823140084E-4
5.58	-3	-9.9085205785021E-5
5.6	2	6.60568038566807E-5
5.62	8	2.64227215426723E-4
5.64	-16	-5.28454430853445E-4
5.66	0	0
5.68	-11	-3.63312421211744E-4
5.7	16	5.28454430853445E-4
5.72	6	1.98170411570042E-4
5.74	2	6.60568038566807E-5
5.76	29	9.5782365592187E-4
5.78	13	4.29369225068424E-4
5.8	10	3.30284019283403E-4
5.82	5	1.65142009641702E-4
5.84	-16	-5.28454430853445E-4
5.86	-5	-1.65142009641702E-4
5.88	4	1.32113607713361E-4
5.9	-3	-9.9085205785021E-5
5.92	8	2.64227215426723E-4
5.94	-3	-9.9085205785021E-5
5.96	24	7.92681646280168E-4
5.98	8	2.64227215426723E-4
6	-7	-2.31198813498382E-4
6.02	1	3.30284019283403E-5
6.04	9	2.97255617355063E-4
6.06	12	3.96340823140084E-4
6.08	13	4.29369225068424E-4
6.1	7	2.31198813498382E-4
6.12	-8	-2.64227215426723E-4
6.14	-19	-6.27539636638466E-4
6.16	1	3.30284019283403E-5
6.18	-9	-2.97255617355063E-4
6.2	5	1.65142009641702E-4
6.22	20	6.60568038566807E-4
6.24	-15	-4.95426028925105E-4
6.26	19	6.27539636638466E-4
6.28	5	1.65142009641702E-4
6.3	13	4.29369225068424E-4
6.32	3	9.9085205785021E-5
6.34	1	3.30284019283403E-5
6.36	30	9.9085205785021E-4
6.38	-7	-2.31198813498382E-4
6.4	-4	-1.32113607713361E-4
6.42	6	1.98170411570042E-4
6.44	20	6.60568038566807E-4
6.46	16	5.28454430853445E-4
6.48	25	8.25710048208508E-4
6.5	2	6.60568038566807E-5
6.52	11	3.63312421211744E-4
6.54	-7	-2.31198813498382E-4
6.56	-17	-5.61482832781786E-4
6.58	4	1.32113607713361E-4
6.6	28	9.24795253993529E-4
6.62	18	5.94511234710126E-4
6.64	27	8.91766852065189E-4
6.66	4	1.32113607713361E-4
6.68	5	1.65142009641702E-4
6.7	17	5.61482832781786E-4
6.72	19	6.27539636638466E-4
6.74	20	6.60568038566807E-4
6.76	36	0.00118902246942025
6.78	29	9.5782365592187E-4
6.8	2	6.60568038566807E-5
6.82	-1	-3.30284019283403E-5
6.84	18	5.94511234710126E-4
6.86	5	1.65142009641702E-4
6.88	15	4.95426028925105E-4
6.9	34	0.00112296566556357
6.92	10	3.30284019283403E-4
6.94	-4	-1.32113607713361E-4
6.96	6	1.98170411570042E-4
6.98	8	2.64227215426723E-4
7	-2	-6.60568038566807E-5
7.02	7	2.31198813498382E-4
7.04	4	1.32113607713361E-4
7.06	-13	-4.29369225068424E-4
7.08	12	3.96340823140084E-4
7.1	13	4.29369225068424E-4
7.12	11	3.63312421211744E-4
7.14	26	8.58738450136849E-4
7.16	6	1.98170411570042E-4
7.18	7	2.31198813498382E-4
7.2	4	1.32113607713361E-4
7.22	-13	-4.29369225068424E-4
7.24	-19	-6.27539636638466E-4
7.26	22	7.26624842423487E-4
7.28	24	7.92681646280168E-4
7.3	12	3.96340823140084E-4
7.32	29	9.5782365592187E-4
7.34	16	5.28454430853445E-4
7.36	-7	-2.31198813498382E-4
7.38	14	4.62397626996765E-4
7.4	27	8.91766852065189E-4
7.42	15	4.95426028925105E-4
7.44	7	2.31198813498382E-4
7.46	5	1.65142009641702E-4
7.48	24	7.92681646280168E-4
7.5	7	2.31198813498382E-4
7.52	-9	-2.97255617355063E-4
7.54	9	2.97255617355063E-4
7.56	-6	-1.98170411570042E-4
7.58	2	6.60568038566807E-5
7.6	17	5.61482832781786E-4
7.62	6	1.98170411570042E-4
7.64	-9	-2.97255617355063E-4
7.66	23	7.59653244351828E-4
7.68	11	3.63312421211744E-4
7.7	-25	-8.25710048208508E-4
7.72	4	1.32113607713361E-4
7.74	7	2.31198813498382E-4
7.76	-11	-3.63312421211744E-4
7.78	4	1.32113607713361E-4
7.8	1	3.30284019283403E-5
7.82	13	4.29369225068424E-4
7.84	5	1.65142009641702E-4
7.86	-10	-3.30284019283403E-4
7.88	-2	-6.60568038566807E-5
7.9	8	2.64227215426723E-4
7.92	1	3.30284019283403E-5
7.94	-3	-9.9085205785021E-5
7.96	8	2.64227215426723E-4
7.98	0	0
8	16	5.28454430853445E-4
8.02	-16	-5.28454430853445E-4
8.04	-8	-2.64227215426723E-4
8.06	40	0.00132113607713361
8.08	10	3.30284019283403E-4
8.1	35	0.00115599406749191
8.12	23	7.59653244351828E-4
8.14	18	5.94511234710126E-4
8.16	8	2.64227215426723E-4
8.18	4	1.32113607713361E-4
8.2	18	5.94511234710126E-4
8.22	10	3.30284019283403E-4
8.24	11	3.63312421211744E-4
8.26	31	0.00102388045977855
8.28	26	8.58738450136849E-4
8.3	4	1.32113607713361E-4
8.32	24	7.92681646280168E-4
8.34	-2	-6.60568038566807E-5
8.36	4	1.32113607713361E-4
8.38	22	7.26624842423487E-4
8.4	11	3.63312421211744E-4
8.42	23	7.59653244351828E-4
8.44	18	5.94511234710126E-4
8.46	-7	-2.31198813498382E-4
8.48	21	6.93596440495147E-4
8.5	38	0.00125507927327693
8.52	22	7.26624842423487E-4
8.54	22	7.26624842423487E-4
8.56	11	3.63312421211744E-4
8.58	29	9.5782365592187E-4
8.6	42	0.00138719288099029
8.62	14	4.62397626996765E-4
8.64	26	8.58738450136849E-4
8.66	39	0.00128810767520527
8.68	31	0.00102388045977855
8.7	34	0.00112296566556357
8.72	39	0.00128810767520527
8.74	31	0.00102388045977855
8.76	43	0.00142022128291863
