Time [µs]	D2, v1J2	D2, v1J2, FIrst
	25k shots	counts per shot
Laser Power [mJ]		power corrected
17.04	-1	-2.98855347155559E-5
17.06	-5	-1.49427673577779E-4
17.08	-3	-8.96566041466677E-5
17.1	9	2.68969812440003E-4
17.12	-3	-8.96566041466677E-5
17.14	15	4.48283020733338E-4
17.16	-4	-1.19542138862224E-4
17.18	-5	-1.49427673577779E-4
17.2	1	2.98855347155559E-5
17.22	5	1.49427673577779E-4
17.24	12	3.58626416586671E-4
17.26	23	6.87367298457786E-4
17.28	-3	-8.96566041466677E-5
17.3	-3	-8.96566041466677E-5
17.32	7	2.09198743008891E-4
17.34	13	3.88511951302227E-4
17.36	-3	-8.96566041466677E-5
17.38	6	1.79313208293335E-4
17.4	-13	-3.88511951302227E-4
17.42	-6	-1.79313208293335E-4
17.44	0	0
17.46	-5	-1.49427673577779E-4
17.48	4	1.19542138862224E-4
17.5	5	1.49427673577779E-4
17.52	1	2.98855347155559E-5
17.54	0	0
17.56	4	1.19542138862224E-4
17.58	4	1.19542138862224E-4
17.6	15	4.48283020733338E-4
17.62	14	4.18397486017782E-4
17.64	2	5.97710694311118E-5
17.66	-10	-2.98855347155559E-4
17.68	-8	-2.39084277724447E-4
17.7	-2	-5.97710694311118E-5
17.72	-8	-2.39084277724447E-4
17.74	-4	-1.19542138862224E-4
17.76	14	4.18397486017782E-4
17.78	13	3.88511951302227E-4
17.8	7	2.09198743008891E-4
17.82	-7	-2.09198743008891E-4
17.84	-4	-1.19542138862224E-4
17.86	-1	-2.98855347155559E-5
17.88	-2	-5.97710694311118E-5
17.9	-10	-2.98855347155559E-4
17.92	-11	-3.28740881871115E-4
17.94	-14	-4.18397486017782E-4
17.96	18	5.37939624880006E-4
17.98	17	5.0805409016445E-4
18	-2	-5.97710694311118E-5
18.02	-11	-3.28740881871115E-4
18.04	-2	-5.97710694311118E-5
18.06	-2	-5.97710694311118E-5
18.08	1	2.98855347155559E-5
18.1	22	6.5748176374223E-4
18.12	0	0
18.14	-13	-3.88511951302227E-4
18.16	9	2.68969812440003E-4
18.18	0	0
18.2	2	5.97710694311118E-5
18.22	-5	-1.49427673577779E-4
18.24	-3	-8.96566041466677E-5
18.26	-2	-5.97710694311118E-5
18.28	-12	-3.58626416586671E-4
18.3	-11	-3.28740881871115E-4
18.32	-14	-4.18397486017782E-4
18.34	-1	-2.98855347155559E-5
18.36	20	5.97710694311118E-4
18.38	21	6.27596229026674E-4
18.4	-12	-3.58626416586671E-4
18.42	-7	-2.09198743008891E-4
18.44	-4	-1.19542138862224E-4
18.46	-1	-2.98855347155559E-5
18.48	2	5.97710694311118E-5
18.5	11	3.28740881871115E-4
18.52	1	2.98855347155559E-5
18.54	7	2.09198743008891E-4
18.56	27	8.06909437320009E-4
18.58	-3	-8.96566041466677E-5
18.6	-1	-2.98855347155559E-5
18.62	12	3.58626416586671E-4
18.64	2	5.97710694311118E-5
18.66	-4	-1.19542138862224E-4
18.68	-8	-2.39084277724447E-4
18.7	0	0
18.72	-3	-8.96566041466677E-5
18.74	1	2.98855347155559E-5
18.76	4	1.19542138862224E-4
18.78	-5	-1.49427673577779E-4
18.8	-12	-3.58626416586671E-4
18.82	-10	-2.98855347155559E-4
18.84	-27	-8.06909437320009E-4
18.86	-4	-1.19542138862224E-4
18.88	10	2.98855347155559E-4
18.9	-5	-1.49427673577779E-4
18.92	-3	-8.96566041466677E-5
18.94	-8	-2.39084277724447E-4
18.96	13	3.88511951302227E-4
18.98	29	8.66680506751121E-4
19	7	2.09198743008891E-4
19.02	10	2.98855347155559E-4
19.04	-12	-3.58626416586671E-4
19.06	-19	-5.67825159595562E-4
19.08	-10	-2.98855347155559E-4
19.1	-5	-1.49427673577779E-4
19.12	4	1.19542138862224E-4
19.14	-8	-2.39084277724447E-4
19.16	-16	-4.78168555448894E-4
19.18	1	2.98855347155559E-5
19.2	-6	-1.79313208293335E-4
19.22	-1	-2.98855347155559E-5
19.24	16	4.78168555448894E-4
19.26	1	2.98855347155559E-5
19.28	-3	-8.96566041466677E-5
19.3	-12	-3.58626416586671E-4
19.32	-8	-2.39084277724447E-4
19.34	-7	-2.09198743008891E-4
19.36	4	1.19542138862224E-4
19.38	9	2.68969812440003E-4
19.4	-11	-3.28740881871115E-4
19.42	13	3.88511951302227E-4
19.44	-1	-2.98855347155559E-5
19.46	16	4.78168555448894E-4
19.48	14	4.18397486017782E-4
19.5	-13	-3.88511951302227E-4
19.52	1	2.98855347155559E-5
19.54	13	3.88511951302227E-4
19.56	-17	-5.0805409016445E-4
19.58	-4	-1.19542138862224E-4
19.6	6	1.79313208293335E-4
19.62	-10	-2.98855347155559E-4
19.64	-18	-5.37939624880006E-4
19.66	-2	-5.97710694311118E-5
19.68	10	2.98855347155559E-4
19.7	6	1.79313208293335E-4
19.72	28	8.36794972035565E-4
19.74	13	3.88511951302227E-4
19.76	4	1.19542138862224E-4
19.78	10	2.98855347155559E-4
19.8	16	4.78168555448894E-4
19.82	13	3.88511951302227E-4
19.84	-4	-1.19542138862224E-4
19.86	3	8.96566041466677E-5
19.88	0	0
19.9	18	5.37939624880006E-4
19.92	4	1.19542138862224E-4
19.94	9	2.68969812440003E-4
19.96	6	1.79313208293335E-4
19.98	2	5.97710694311118E-5
20	0	0
20.02	-3	-8.96566041466677E-5
20.04	8	2.39084277724447E-4
20.06	12	3.58626416586671E-4
20.08	7	2.09198743008891E-4
20.1	12	3.58626416586671E-4
20.12	36	0.00107587924976001
20.14	2	5.97710694311118E-5
20.16	13	3.88511951302227E-4
20.18	8	2.39084277724447E-4
20.2	10	2.98855347155559E-4
20.22	18	5.37939624880006E-4
20.24	7	2.09198743008891E-4
20.26	-5	-1.49427673577779E-4
20.28	13	3.88511951302227E-4
20.3	-4	-1.19542138862224E-4
20.32	-10	-2.98855347155559E-4
20.34	-2	-5.97710694311118E-5
20.36	13	3.88511951302227E-4
20.38	8	2.39084277724447E-4
20.4	9	2.68969812440003E-4
20.42	10	2.98855347155559E-4
20.44	-20	-5.97710694311118E-4
20.46	-1	-2.98855347155559E-5
20.48	-3	-8.96566041466677E-5
20.5	-7	-2.09198743008891E-4
20.52	-12	-3.58626416586671E-4
20.54	-32	-9.56337110897789E-4
20.56	-22	-6.5748176374223E-4
20.58	-11	-3.28740881871115E-4
20.6	-11	-3.28740881871115E-4
20.62	-9	-2.68969812440003E-4
20.64	6	1.79313208293335E-4
20.66	11	3.28740881871115E-4
20.68	6	1.79313208293335E-4
20.7	10	2.98855347155559E-4
20.72	8	2.39084277724447E-4
20.74	3	8.96566041466677E-5
20.76	-4	-1.19542138862224E-4
20.78	29	8.66680506751121E-4
20.8	8	2.39084277724447E-4
20.82	16	4.78168555448894E-4
20.84	4	1.19542138862224E-4
20.86	4	1.19542138862224E-4
20.88	20	5.97710694311118E-4
20.9	10	2.98855347155559E-4
20.92	-15	-4.48283020733338E-4
20.94	-5	-1.49427673577779E-4
20.96	-2	-5.97710694311118E-5
20.98	-6	-1.79313208293335E-4
21	-8	-2.39084277724447E-4
21.02	-17	-5.0805409016445E-4
21.04	-14	-4.18397486017782E-4
21.06	-6	-1.79313208293335E-4
21.08	11	3.28740881871115E-4
21.1	7	2.09198743008891E-4
21.12	14	4.18397486017782E-4
21.14	13	3.88511951302227E-4
21.16	9	2.68969812440003E-4
21.18	-28	-8.36794972035565E-4
21.2	-12	-3.58626416586671E-4
21.22	1	2.98855347155559E-5
21.24	5	1.49427673577779E-4
21.26	11	3.28740881871115E-4
21.28	18	5.37939624880006E-4
21.3	12	3.58626416586671E-4
21.32	10	2.98855347155559E-4
21.34	-4	-1.19542138862224E-4
21.36	10	2.98855347155559E-4
21.38	5	1.49427673577779E-4
21.4	-19	-5.67825159595562E-4
21.42	6	1.79313208293335E-4
21.44	-12	-3.58626416586671E-4
21.46	-4	-1.19542138862224E-4
21.48	3	8.96566041466677E-5
21.5	8	2.39084277724447E-4
21.52	20	5.97710694311118E-4
21.54	1	2.98855347155559E-5
21.56	16	4.78168555448894E-4
21.58	8	2.39084277724447E-4
21.6	-2	-5.97710694311118E-5
21.62	-16	-4.78168555448894E-4
21.64	3	8.96566041466677E-5
21.66	0	0
21.68	33	9.86222645613344E-4
21.7	-4	-1.19542138862224E-4
21.72	7	2.09198743008891E-4
21.74	11	3.28740881871115E-4
21.76	-2	-5.97710694311118E-5
21.78	-8	-2.39084277724447E-4
21.8	15	4.48283020733338E-4
21.82	11	3.28740881871115E-4
21.84	3	8.96566041466677E-5
21.86	14	4.18397486017782E-4
21.88	9	2.68969812440003E-4
21.9	8	2.39084277724447E-4
21.92	4	1.19542138862224E-4
21.94	-4	-1.19542138862224E-4
21.96	-4	-1.19542138862224E-4
21.98	7	2.09198743008891E-4
22	16	4.78168555448894E-4
22.02	11	3.28740881871115E-4
22.04	-5	-1.49427673577779E-4
22.06	-15	-4.48283020733338E-4
22.08	-17	-5.0805409016445E-4
22.1	-6	-1.79313208293335E-4
22.12	8	2.39084277724447E-4
22.14	9	2.68969812440003E-4
22.16	12	3.58626416586671E-4
22.18	8	2.39084277724447E-4
22.2	3	8.96566041466677E-5
22.22	-8	-2.39084277724447E-4
22.24	1	2.98855347155559E-5
22.26	6	1.79313208293335E-4
22.28	9	2.68969812440003E-4
22.3	9	2.68969812440003E-4
22.32	7	2.09198743008891E-4
22.34	-3	-8.96566041466677E-5
22.36	2	5.97710694311118E-5
22.38	-9	-2.68969812440003E-4
22.4	-14	-4.18397486017782E-4
22.42	-3	-8.96566041466677E-5
22.44	25	7.47138367888897E-4
22.46	-5	-1.49427673577779E-4
22.48	-3	-8.96566041466677E-5
22.5	26	7.77023902604453E-4
22.52	4	1.19542138862224E-4
22.54	16	4.78168555448894E-4
22.56	19	5.67825159595562E-4
22.58	1	2.98855347155559E-5
22.6	5	1.49427673577779E-4
22.62	-8	-2.39084277724447E-4
22.64	-21	-6.27596229026674E-4
22.66	7	2.09198743008891E-4
22.68	18	5.37939624880006E-4
22.7	0	0
22.72	1	2.98855347155559E-5
22.74	8	2.39084277724447E-4
22.76	-2	-5.97710694311118E-5
22.78	15	4.48283020733338E-4
22.8	8	2.39084277724447E-4
22.82	9	2.68969812440003E-4
22.84	1	2.98855347155559E-5
22.86	19	5.67825159595562E-4
22.88	15	4.48283020733338E-4
22.9	12	3.58626416586671E-4
22.92	29	8.66680506751121E-4
22.94	19	5.67825159595562E-4
22.96	-6	-1.79313208293335E-4
22.98	4	1.19542138862224E-4
23	-14	-4.18397486017782E-4
23.02	-12	-3.58626416586671E-4
23.04	-14	-4.18397486017782E-4
23.06	-4	-1.19542138862224E-4
23.08	7	2.09198743008891E-4
23.1	-5	-1.49427673577779E-4
23.12	-19	-5.67825159595562E-4
23.14	-16	-4.78168555448894E-4
23.16	21	6.27596229026674E-4
23.18	0	0
23.2	-2	-5.97710694311118E-5
23.22	-9	-2.68969812440003E-4
23.24	12	3.58626416586671E-4
23.26	-2	-5.97710694311118E-5
23.28	-12	-3.58626416586671E-4
23.3	0	0
23.32	-7	-2.09198743008891E-4
23.34	12	3.58626416586671E-4
23.36	11	3.28740881871115E-4
23.38	-4	-1.19542138862224E-4
23.4	14	4.18397486017782E-4
23.42	-10	-2.98855347155559E-4
23.44	1	2.98855347155559E-5
23.46	6	1.79313208293335E-4
23.48	15	4.48283020733338E-4
23.5	-4	-1.19542138862224E-4
23.52	7	2.09198743008891E-4
23.54	-7	-2.09198743008891E-4
23.56	3	8.96566041466677E-5
23.58	-14	-4.18397486017782E-4
23.6	-5	-1.49427673577779E-4
23.62	13	3.88511951302227E-4
23.64	0	0
23.66	-4	-1.19542138862224E-4
23.68	-7	-2.09198743008891E-4
23.7	19	5.67825159595562E-4
23.72	8	2.39084277724447E-4
23.74	0	0
23.76	-3	-8.96566041466677E-5
23.78	6	1.79313208293335E-4
23.8	13	3.88511951302227E-4
23.82	11	3.28740881871115E-4
23.84	6	1.79313208293335E-4
23.86	7	2.09198743008891E-4
23.88	-3	-8.96566041466677E-5
23.9	10	2.98855347155559E-4
23.92	12	3.58626416586671E-4
23.94	7	2.09198743008891E-4
23.96	-2	-5.97710694311118E-5
23.98	12	3.58626416586671E-4
24	-13	-3.88511951302227E-4
24.02	1	2.98855347155559E-5
24.04	6	1.79313208293335E-4
24.06	2	5.97710694311118E-5
24.08	-10	-2.98855347155559E-4
24.1	12	3.58626416586671E-4
24.12	20	5.97710694311118E-4
24.14	4	1.19542138862224E-4
24.16	1	2.98855347155559E-5
24.18	15	4.48283020733338E-4
24.2	5	1.49427673577779E-4
24.22	-4	-1.19542138862224E-4
24.24	23	6.87367298457786E-4
24.26	10	2.98855347155559E-4
24.28	-10	-2.98855347155559E-4
24.3	-14	-4.18397486017782E-4
24.32	-16	-4.78168555448894E-4
24.34	-32	-9.56337110897789E-4
24.36	1	2.98855347155559E-5
24.38	-14	-4.18397486017782E-4
24.4	-17	-5.0805409016445E-4
24.42	12	3.58626416586671E-4
24.44	0	0
24.46	6	1.79313208293335E-4
24.48	18	5.37939624880006E-4
24.5	10	2.98855347155559E-4
24.52	2	5.97710694311118E-5
24.54	2	5.97710694311118E-5
24.56	-6	-1.79313208293335E-4
24.58	-8	-2.39084277724447E-4
24.6	-9	-2.68969812440003E-4
24.62	-15	-4.48283020733338E-4
24.64	2	5.97710694311118E-5
24.66	7	2.09198743008891E-4
24.68	-8	-2.39084277724447E-4
24.7	-1	-2.98855347155559E-5
24.72	-6	-1.79313208293335E-4
24.74	-2	-5.97710694311118E-5
24.76	22	6.5748176374223E-4
24.78	-1	-2.98855347155559E-5
24.8	16	4.78168555448894E-4
24.82	8	2.39084277724447E-4
24.84	17	5.0805409016445E-4
24.86	1	2.98855347155559E-5
24.88	6	1.79313208293335E-4
24.9	-2	-5.97710694311118E-5
24.92	2	5.97710694311118E-5
24.94	17	5.0805409016445E-4
24.96	16	4.78168555448894E-4
24.98	8	2.39084277724447E-4
25	-5	-1.49427673577779E-4
25.02	-12	-3.58626416586671E-4
25.04	-4	-1.19542138862224E-4
25.06	25	7.47138367888897E-4
25.08	-13	-3.88511951302227E-4
25.1	-17	-5.0805409016445E-4
25.12	19	5.67825159595562E-4
25.14	16	4.78168555448894E-4
25.16	15	4.48283020733338E-4
25.18	8	2.39084277724447E-4
25.2	6	1.79313208293335E-4
25.22	11	3.28740881871115E-4
25.24	7	2.09198743008891E-4
25.26	-3	-8.96566041466677E-5
25.28	-5	-1.49427673577779E-4
25.3	-8	-2.39084277724447E-4
25.32	-20	-5.97710694311118E-4
25.34	-8	-2.39084277724447E-4
25.36	-17	-5.0805409016445E-4
25.38	9	2.68969812440003E-4
25.4	5	1.49427673577779E-4
25.42	16	4.78168555448894E-4
25.44	2	5.97710694311118E-5
25.46	8	2.39084277724447E-4
25.48	-14	-4.18397486017782E-4
25.5	-14	-4.18397486017782E-4
25.52	0	0
25.54	4	1.19542138862224E-4
25.56	-3	-8.96566041466677E-5
25.58	10	2.98855347155559E-4
25.6	-3	-8.96566041466677E-5
25.62	-8	-2.39084277724447E-4
25.64	10	2.98855347155559E-4
25.66	3	8.96566041466677E-5
25.68	9	2.68969812440003E-4
25.7	-33	-9.86222645613344E-4
25.72	7	2.09198743008891E-4
25.74	10	2.98855347155559E-4
25.76	10	2.98855347155559E-4
25.78	-9	-2.68969812440003E-4
25.8	4	1.19542138862224E-4
25.82	8	2.39084277724447E-4
25.84	-9	-2.68969812440003E-4
25.86	0	0
25.88	3	8.96566041466677E-5
25.9	-9	-2.68969812440003E-4
25.92	0	0
25.94	-8	-2.39084277724447E-4
25.96	-25	-7.47138367888897E-4
25.98	-3	-8.96566041466677E-5
26	-6	-1.79313208293335E-4
26.02	-7	-2.09198743008891E-4
26.04	0	0
26.06	-1	-2.98855347155559E-5
26.08	13	3.88511951302227E-4
26.1	12	3.58626416586671E-4
26.12	-3	-8.96566041466677E-5
26.14	-5	-1.49427673577779E-4
26.16	4	1.19542138862224E-4
26.18	2	5.97710694311118E-5
26.2	-14	-4.18397486017782E-4
26.22	-1	-2.98855347155559E-5
26.24	12	3.58626416586671E-4
26.26	1	2.98855347155559E-5
26.28	3	8.96566041466677E-5
26.3	22	6.5748176374223E-4
26.32	-3	-8.96566041466677E-5
26.34	-15	-4.48283020733338E-4
26.36	-18	-5.37939624880006E-4
26.38	10	2.98855347155559E-4
26.4	12	3.58626416586671E-4
26.42	8	2.39084277724447E-4
26.44	4	1.19542138862224E-4
26.46	-18	-5.37939624880006E-4
26.48	-17	-5.0805409016445E-4
26.5	-4	-1.19542138862224E-4
26.52	7	2.09198743008891E-4
26.54	-12	-3.58626416586671E-4
26.56	8	2.39084277724447E-4
26.58	10	2.98855347155559E-4
26.6	4	1.19542138862224E-4
26.62	10	2.98855347155559E-4
26.64	-1	-2.98855347155559E-5
26.66	-10	-2.98855347155559E-4
26.68	14	4.18397486017782E-4
26.7	16	4.78168555448894E-4
26.72	19	5.67825159595562E-4
26.74	6	1.79313208293335E-4
26.76	-24	-7.17252833173341E-4
26.78	-11	-3.28740881871115E-4
26.8	-2	-5.97710694311118E-5
26.82	14	4.18397486017782E-4
26.84	5	1.49427673577779E-4
26.86	9	2.68969812440003E-4
26.88	-10	-2.98855347155559E-4
26.9	-12	-3.58626416586671E-4
26.92	12	3.58626416586671E-4
26.94	0	0
26.96	-1	-2.98855347155559E-5
26.98	-1	-2.98855347155559E-5
27	14	4.18397486017782E-4
27.02	3	8.96566041466677E-5
27.04	-1	-2.98855347155559E-5
27.06	-6	-1.79313208293335E-4
27.08	8	2.39084277724447E-4
27.1	9	2.68969812440003E-4
27.12	-9	-2.68969812440003E-4
27.14	-7	-2.09198743008891E-4
27.16	17	5.0805409016445E-4
27.18	0	0
27.2	-20	-5.97710694311118E-4
27.22	-6	-1.79313208293335E-4
27.24	15	4.48283020733338E-4
27.26	-2	-5.97710694311118E-5
27.28	12	3.58626416586671E-4
27.3	10	2.98855347155559E-4
27.32	17	5.0805409016445E-4
27.34	-13	-3.88511951302227E-4
27.36	0	0
27.38	9	2.68969812440003E-4
27.4	2	5.97710694311118E-5
27.42	13	3.88511951302227E-4
27.44	7	2.09198743008891E-4
27.46	21	6.27596229026674E-4
27.48	7	2.09198743008891E-4
27.5	3	8.96566041466677E-5
27.52	7	2.09198743008891E-4
27.54	-8	-2.39084277724447E-4
27.56	1	2.98855347155559E-5
27.58	13	3.88511951302227E-4
27.6	2	5.97710694311118E-5
27.62	-9	-2.68969812440003E-4
27.64	9	2.68969812440003E-4
27.66	-9	-2.68969812440003E-4
27.68	-7	-2.09198743008891E-4
27.7	-25	-7.47138367888897E-4
27.72	10	2.98855347155559E-4
27.74	-1	-2.98855347155559E-5
27.76	4	1.19542138862224E-4
27.78	-6	-1.79313208293335E-4
27.8	-6	-1.79313208293335E-4
27.82	0	0
27.84	-17	-5.0805409016445E-4
27.86	8	2.39084277724447E-4
27.88	-8	-2.39084277724447E-4
27.9	10	2.98855347155559E-4
27.92	-9	-2.68969812440003E-4
27.94	-22	-6.5748176374223E-4
27.96	-4	-1.19542138862224E-4
27.98	15	4.48283020733338E-4
28	0	0
28.02	-10	-2.98855347155559E-4
28.04	-18	-5.37939624880006E-4
28.06	-2	-5.97710694311118E-5
28.08	9	2.68969812440003E-4
28.1	1	2.98855347155559E-5
28.12	-9	-2.68969812440003E-4
28.14	13	3.88511951302227E-4
28.16	5	1.49427673577779E-4
28.18	-16	-4.78168555448894E-4
28.2	1	2.98855347155559E-5
28.22	2	5.97710694311118E-5
28.24	-11	-3.28740881871115E-4
28.26	-8	-2.39084277724447E-4
28.28	2	5.97710694311118E-5
28.3	16	4.78168555448894E-4
28.32	2	5.97710694311118E-5
28.34	-24	-7.17252833173341E-4
28.36	-19	-5.67825159595562E-4
28.38	10	2.98855347155559E-4
28.4	6	1.79313208293335E-4
28.42	2	5.97710694311118E-5
28.44	2	5.97710694311118E-5
28.46	8	2.39084277724447E-4
28.48	10	2.98855347155559E-4
28.5	7	2.09198743008891E-4
28.52	-2	-5.97710694311118E-5
28.54	11	3.28740881871115E-4
28.56	-3	-8.96566041466677E-5
28.58	0	0
28.6	18	5.37939624880006E-4
28.62	3	8.96566041466677E-5
28.64	5	1.49427673577779E-4
28.66	2	5.97710694311118E-5
28.68	-11	-3.28740881871115E-4
28.7	-7	-2.09198743008891E-4
28.72	3	8.96566041466677E-5
28.74	-15	-4.48283020733338E-4
28.76	-11	-3.28740881871115E-4
28.78	9	2.68969812440003E-4
28.8	11	3.28740881871115E-4
28.82	-16	-4.78168555448894E-4
28.84	-4	-1.19542138862224E-4
28.86	12	3.58626416586671E-4
28.88	-4	-1.19542138862224E-4
28.9	-13	-3.88511951302227E-4
28.92	-10	-2.98855347155559E-4
28.94	8	2.39084277724447E-4
28.96	12	3.58626416586671E-4
28.98	1	2.98855347155559E-5
29	-22	-6.5748176374223E-4
29.02	2	5.97710694311118E-5
29.04	8	2.39084277724447E-4
29.06	11	3.28740881871115E-4
29.08	-2	-5.97710694311118E-5
29.1	-7	-2.09198743008891E-4
29.12	-10	-2.98855347155559E-4
29.14	4	1.19542138862224E-4
29.16	0	0
29.18	-1	-2.98855347155559E-5
29.2	-7	-2.09198743008891E-4
29.22	17	5.0805409016445E-4
29.24	3	8.96566041466677E-5
29.26	13	3.88511951302227E-4
29.28	15	4.48283020733338E-4
29.3	-2	-5.97710694311118E-5
29.32	-20	-5.97710694311118E-4
29.34	15	4.48283020733338E-4
29.36	5	1.49427673577779E-4
29.38	7	2.09198743008891E-4
29.4	2	5.97710694311118E-5
29.42	9	2.68969812440003E-4
29.44	-1	-2.98855347155559E-5
29.46	-1	-2.98855347155559E-5
29.48	13	3.88511951302227E-4
29.5	1	2.98855347155559E-5
29.52	12	3.58626416586671E-4
29.54	7	2.09198743008891E-4
29.56	-1	-2.98855347155559E-5
29.58	-12	-3.58626416586671E-4
29.6	10	2.98855347155559E-4
29.62	10	2.98855347155559E-4
29.64	16	4.78168555448894E-4
29.66	0	0
29.68	-11	-3.28740881871115E-4
29.7	5	1.49427673577779E-4
29.72	3	8.96566041466677E-5
29.74	5	1.49427673577779E-4
29.76	-5	-1.49427673577779E-4
29.78	-12	-3.58626416586671E-4
29.8	10	2.98855347155559E-4
29.82	12	3.58626416586671E-4
29.84	19	5.67825159595562E-4
29.86	18	5.37939624880006E-4
29.88	5	1.49427673577779E-4
29.9	5	1.49427673577779E-4
29.92	-8	-2.39084277724447E-4
29.94	-10	-2.98855347155559E-4
29.96	-19	-5.67825159595562E-4
29.98	-7	-2.09198743008891E-4
30	9	2.68969812440003E-4
30.02	8	2.39084277724447E-4
30.04	-12	-3.58626416586671E-4
30.06	-5	-1.49427673577779E-4
30.08	3	8.96566041466677E-5
30.1	-7	-2.09198743008891E-4
30.12	3	8.96566041466677E-5
30.14	-2	-5.97710694311118E-5
30.16	-9	-2.68969812440003E-4
30.18	-7	-2.09198743008891E-4
30.2	12	3.58626416586671E-4
30.22	-4	-1.19542138862224E-4
30.24	12	3.58626416586671E-4
30.26	-12	-3.58626416586671E-4
30.28	-12	-3.58626416586671E-4
30.3	16	4.78168555448894E-4
30.32	3	8.96566041466677E-5
30.34	0	0
30.36	0	0
30.38	-9	-2.68969812440003E-4
30.4	-9	-2.68969812440003E-4
30.42	-3	-8.96566041466677E-5
30.44	10	2.98855347155559E-4
30.46	-15	-4.48283020733338E-4
30.48	-5	-1.49427673577779E-4
30.5	4	1.19542138862224E-4
30.52	-4	-1.19542138862224E-4
30.54	16	4.78168555448894E-4
30.56	24	7.17252833173341E-4
30.58	5	1.49427673577779E-4
30.6	16	4.78168555448894E-4
30.62	15	4.48283020733338E-4
30.64	-6	-1.79313208293335E-4
30.66	-15	-4.48283020733338E-4
30.68	4	1.19542138862224E-4
30.7	8	2.39084277724447E-4
30.72	10	2.98855347155559E-4
30.74	-14	-4.18397486017782E-4
30.76	2	5.97710694311118E-5
30.78	6	1.79313208293335E-4
30.8	2	5.97710694311118E-5
30.82	4	1.19542138862224E-4
30.84	3	8.96566041466677E-5
30.86	4	1.19542138862224E-4
30.88	-4	-1.19542138862224E-4
30.9	-15	-4.48283020733338E-4
30.92	-2	-5.97710694311118E-5
30.94	6	1.79313208293335E-4
30.96	-8	-2.39084277724447E-4
30.98	2	5.97710694311118E-5
31	2	5.97710694311118E-5
31.02	-3	-8.96566041466677E-5
31.04	2	5.97710694311118E-5
31.06	-5	-1.49427673577779E-4
31.08	-1	-2.98855347155559E-5
31.1	6	1.79313208293335E-4
31.12	0	0
31.14	-2	-5.97710694311118E-5
31.16	-1	-2.98855347155559E-5
31.18	12	3.58626416586671E-4
31.2	5	1.49427673577779E-4
31.22	-11	-3.28740881871115E-4
31.24	3	8.96566041466677E-5
31.26	12	3.58626416586671E-4
31.28	-7	-2.09198743008891E-4
31.3	1	2.98855347155559E-5
31.32	-9	-2.68969812440003E-4
31.34	5	1.49427673577779E-4
31.36	4	1.19542138862224E-4
31.38	9	2.68969812440003E-4
31.4	3	8.96566041466677E-5
31.42	-1	-2.98855347155559E-5
31.44	-13	-3.88511951302227E-4
31.46	14	4.18397486017782E-4
31.48	9	2.68969812440003E-4
31.5	-20	-5.97710694311118E-4
31.52	4	1.19542138862224E-4
31.54	-7	-2.09198743008891E-4
31.56	10	2.98855347155559E-4
31.58	15	4.48283020733338E-4
31.6	7	2.09198743008891E-4
31.62	-5	-1.49427673577779E-4
31.64	-15	-4.48283020733338E-4
31.66	1	2.98855347155559E-5
31.68	3	8.96566041466677E-5
31.7	-8	-2.39084277724447E-4
31.72	1	2.98855347155559E-5
31.74	-24	-7.17252833173341E-4
31.76	-16	-4.78168555448894E-4
31.78	20	5.97710694311118E-4
31.8	9	2.68969812440003E-4
31.82	7	2.09198743008891E-4
31.84	-1	-2.98855347155559E-5
31.86	6	1.79313208293335E-4
31.88	-4	-1.19542138862224E-4
31.9	16	4.78168555448894E-4
31.92	-5	-1.49427673577779E-4
31.94	9	2.68969812440003E-4
31.96	14	4.18397486017782E-4
31.98	2	5.97710694311118E-5
32	-6	-1.79313208293335E-4
32.02	-21	-6.27596229026674E-4
32.04	-10	-2.98855347155559E-4
32.06	-6	-1.79313208293335E-4
32.08	-14	-4.18397486017782E-4
32.1	12	3.58626416586671E-4
32.12	-2	-5.97710694311118E-5
32.14	5	1.49427673577779E-4
32.16	-3	-8.96566041466677E-5
32.18	-19	-5.67825159595562E-4
32.2	11	3.28740881871115E-4
32.22	16	4.78168555448894E-4
32.24	12	3.58626416586671E-4
32.26	-3	-8.96566041466677E-5
32.28	-18	-5.37939624880006E-4
32.3	-7	-2.09198743008891E-4
32.32	23	6.87367298457786E-4
32.34	4	1.19542138862224E-4
32.36	14	4.18397486017782E-4
32.38	6	1.79313208293335E-4
32.4	-8	-2.39084277724447E-4
32.42	7	2.09198743008891E-4
32.44	-10	-2.98855347155559E-4
32.46	7	2.09198743008891E-4
32.48	-1	-2.98855347155559E-5
32.5	11	3.28740881871115E-4
32.52	-13	-3.88511951302227E-4
32.54	-13	-3.88511951302227E-4
32.56	-10	-2.98855347155559E-4
32.58	-7	-2.09198743008891E-4
32.6	9	2.68969812440003E-4
32.62	-8	-2.39084277724447E-4
32.64	-14	-4.18397486017782E-4
32.66	-13	-3.88511951302227E-4
32.68	-13	-3.88511951302227E-4
32.7	2	5.97710694311118E-5
32.72	7	2.09198743008891E-4
32.74	12	3.58626416586671E-4
32.76	6	1.79313208293335E-4
32.78	-1	-2.98855347155559E-5
32.8	5	1.49427673577779E-4
32.82	-2	-5.97710694311118E-5
32.84	-25	-7.47138367888897E-4
32.86	2	5.97710694311118E-5
32.88	-5	-1.49427673577779E-4
32.9	-8	-2.39084277724447E-4
32.92	2	5.97710694311118E-5
32.94	-19	-5.67825159595562E-4
32.96	11	3.28740881871115E-4
