Counter Settings:
Falling Edge
Disc Threshold [V]	-0.301514
Dwell time [s]	2.000000E-8
Number of channels	3750
Number of Scans	25000

D2
v 1
J 2
29.7V 3.26A
Au 788C
Knnew  C
Kn  e-2mbar (base 1.5e-2)
x=35mm y=35.5mm z=512mm
D2/RGA: 9.0e-10 torr (base 8e-12)
500: 9.2e-9 mbar
100: 1.4e-9 mbar
FFR heater 4.0A 1.37V
extra heater 3.0A 0.5V
Extractor: -30V
Lens: -1200V
MCP: -2100V
Laser Position	207.520428

Laser Power [mJ]	0.885753
Time [µs]	Counts
0	40140
0.02	15508
0.04	301
0.06	98
0.08	124
0.1	58
0.12	19
0.14	6
0.16	10
0.18	14
0.2	17
0.22	12
0.24	35
0.26	58
0.28	73
0.3	65
0.32	81
0.34	47
0.36	59
0.38	91
0.4	72
0.42	81
0.44	83
0.46	76
0.48	76
0.5	62
0.52	51
0.54	48
0.56	25
0.58	35
0.6	35
0.62	48
0.64	63
0.66	75
0.68	61
0.7	43
0.72	68
0.74	112
0.76	112
0.78	124
0.8	158
0.82	159
0.84	178
0.86	205
0.88	202
0.9	240
0.92	272
0.94	297
0.96	335
0.98	391
1	504
1.02	578
1.04	689
1.06	706
1.08	676
1.1	531
1.12	416
1.14	300
1.16	249
1.18	206
1.2	191
1.22	171
1.24	171
1.26	143
1.28	145
1.3	132
1.32	133
1.34	132
1.36	141
1.38	144
1.4	144
1.42	129
1.44	123
1.46	111
1.48	93
1.5	79
1.52	76
1.54	58
1.56	39
1.58	34
1.6	41
1.62	39
1.64	38
1.66	33
1.68	21
1.7	14
1.72	21
1.74	23
1.76	21
1.78	17
1.8	17
1.82	25
1.84	27
1.86	22
1.88	22
1.9	27
1.92	30
1.94	32
1.96	23
1.98	18
2	14
2.02	16
2.04	22
2.06	25
2.08	24
2.1	30
2.12	38
2.14	31
2.16	24
2.18	29
2.2	26
2.22	20
2.24	19
2.26	23
2.28	32
2.3	40
2.32	38
2.34	21
2.36	16
2.38	20
2.4	18
2.42	11
2.44	17
2.46	13
2.48	7
2.5	11
2.52	15
2.54	22
2.56	13
2.58	12
2.6	18
2.62	24
2.64	12
2.66	5
2.68	8
2.7	7
2.72	11
2.74	13
2.76	11
2.78	7
2.8	10
2.82	9
2.84	9
2.86	13
2.88	8
2.9	8
2.92	11
2.94	11
2.96	9
2.98	8
3	8
3.02	15
3.04	9
3.06	4
3.08	9
3.1	16
3.12	11
3.14	15
3.16	13
3.18	9
3.2	8
3.22	6
3.24	11
3.26	18
3.28	13
3.3	8
3.32	4
3.34	11
3.36	11
3.38	7
3.4	18
3.42	11
3.44	7
3.46	9
3.48	10
3.5	11
3.52	8
3.54	11
3.56	13
3.58	8
3.6	11
3.62	11
3.64	8
3.66	6
3.68	10
3.7	5
3.72	4
3.74	10
3.76	12
3.78	5
3.8	11
3.82	17
3.84	13
3.86	8
3.88	9
3.9	9
3.92	5
3.94	6
3.96	6
3.98	7
4	8
4.02	5
4.04	11
4.06	15
4.08	14
