Time [µs]	D2 v2J6	D2 v2J6	
	150k shots	150k shots	
Laser Power [mJ]		power corrected	
0	--	--
0.02	--	--
0.04	--	--
0.06	--	--
0.08	--	--
0.1	--	--
0.12	--	--
0.14	--	--
0.16	--	--
0.18	--	--
0.2	--	--
0.22	--	--
0.24	--	--
0.26	--	--
0.28	--	--
0.3	--	--
0.32	--	--
0.34	--	--
0.36	--	--
0.38	--	--
0.4	--	--
0.42	--	--
0.44	--	--
0.46	--	--
0.48	--	--
0.5	--	--
0.52	--	--
0.54	--	--
0.56	--	--
0.58	--	--
0.6	--	--
0.62	--	--
0.64	--	--
0.66	--	--
0.68	--	--
0.7	--	--
0.72	--	--
0.74	--	--
0.76	--	--
0.78	--	--
0.8	--	--
0.82	--	--
0.84	--	--
0.86	--	--
0.88	--	--
0.9	--	--
0.92	--	--
0.94	--	--
0.96	--	--
0.98	--	--
1	--	--
1.02	--	--
1.04	--	--
1.06	--	--
1.08	--	--
1.1	--	--
1.12	--	--
1.14	--	--
1.16	--	--
1.18	--	--
1.2	--	--
1.22	--	--
1.24	--	--
1.26	--	--
1.28	--	--
1.3	--	--
1.32	--	--
1.34	--	--
1.36	--	--
1.38	--	--
1.4	--	--
1.42	--	--
1.44	--	--
1.46	--	--
1.48	--	--
1.5	--	--
1.52	--	--
1.54	--	--
1.56	--	--
1.58	--	--
1.6	--	--
1.62	13	3.26965909005458E-4
1.64	15	3.77268356544759E-4
1.66	0	0
1.68	-7	-1.76058566387554E-4
1.7	-11	-2.76663461466157E-4
1.72	8	2.01209790157205E-4
1.74	18	4.52722027853711E-4
1.76	12	3.01814685235808E-4
1.78	12	3.01814685235808E-4
1.8	22	5.53326922932314E-4
1.82	3	7.54536713089519E-5
1.84	-5	-1.25756118848253E-4
1.86	6	1.50907342617904E-4
1.88	4	1.00604895078602E-4
1.9	-33	-8.29990384398471E-4
1.92	-1	-2.51512237696506E-5
1.94	17	4.27570804084061E-4
1.96	10	2.51512237696506E-4
1.98	-7	-1.76058566387554E-4
2	1	2.51512237696506E-5
2.02	-1	-2.51512237696506E-5
2.04	12	3.01814685235808E-4
2.06	1	2.51512237696506E-5
2.08	-5	-1.25756118848253E-4
2.1	2	5.03024475393012E-5
2.12	8	2.01209790157205E-4
2.14	-1	-2.51512237696506E-5
2.16	-14	-3.52117132775109E-4
2.18	-11	-2.76663461466157E-4
2.2	-24	-6.03629370471615E-4
2.22	-8	-2.01209790157205E-4
2.24	-2	-5.03024475393012E-5
2.26	9	2.26361013926856E-4
2.28	-1	-2.51512237696506E-5
2.3	-12	-3.01814685235808E-4
2.32	-1	-2.51512237696506E-5
2.34	0	0
2.36	3	7.54536713089519E-5
2.38	8	2.01209790157205E-4
2.4	1	2.51512237696506E-5
2.42	13	3.26965909005458E-4
2.44	9	2.26361013926856E-4
2.46	-11	-2.76663461466157E-4
2.48	-3	-7.54536713089519E-5
2.5	3	7.54536713089519E-5
2.52	-3	-7.54536713089519E-5
2.54	-3	-7.54536713089519E-5
2.56	8	2.01209790157205E-4
2.58	2	5.03024475393012E-5
2.6	5	1.25756118848253E-4
2.62	0	0
2.64	3	7.54536713089519E-5
2.66	-13	-3.26965909005458E-4
2.68	-9	-2.26361013926856E-4
2.7	-8	-2.01209790157205E-4
2.72	3	7.54536713089519E-5
2.74	-16	-4.0241958031441E-4
2.76	-11	-2.76663461466157E-4
2.78	3	7.54536713089519E-5
2.8	5	1.25756118848253E-4
2.82	4	1.00604895078602E-4
2.84	3	7.54536713089519E-5
2.86	-8	-2.01209790157205E-4
2.88	-9	-2.26361013926856E-4
2.9	-2	-5.03024475393012E-5
2.92	-1	-2.51512237696506E-5
2.94	-4	-1.00604895078602E-4
2.96	1	2.51512237696506E-5
2.98	3	7.54536713089519E-5
3	8	2.01209790157205E-4
3.02	10	2.51512237696506E-4
