Time [µs]	v0J3	v0J3
	30k shots	30k shots
Laser Power [mJ]		power corrected
0	--	--
0.02	--	--
0.04	--	--
0.06	--	--
0.08	--	--
0.1	--	--
0.12	--	--
0.14	--	--
0.16	--	--
0.18	--	--
0.2	--	--
0.22	--	--
0.24	--	--
0.26	--	--
0.28	--	--
0.3	--	--
0.32	--	--
0.34	--	--
0.36	--	--
0.38	--	--
0.4	--	--
0.42	--	--
0.44	--	--
0.46	--	--
0.48	--	--
0.5	--	--
0.52	--	--
0.54	--	--
0.56	--	--
0.58	--	--
0.6	--	--
0.62	--	--
0.64	--	--
0.66	--	--
0.68	--	--
0.7	--	--
0.72	--	--
0.74	--	--
0.76	--	--
0.78	--	--
0.8	--	--
0.82	--	--
0.84	--	--
0.86	--	--
0.88	--	--
0.9	--	--
0.92	--	--
0.94	--	--
0.96	--	--
0.98	--	--
1	--	--
1.02	--	--
1.04	--	--
1.06	--	--
1.08	--	--
1.1	--	--
1.12	--	--
1.14	--	--
1.16	--	--
1.18	--	--
1.2	--	--
1.22	--	--
1.24	--	--
1.26	--	--
1.28	--	--
1.3	--	--
1.32	--	--
1.34	--	--
1.36	--	--
1.38	--	--
1.4	--	--
1.42	--	--
1.44	--	--
1.46	--	--
1.48	--	--
1.5	--	--
1.52	--	--
1.54	--	--
1.56	--	--
1.58	--	--
1.6	--	--
1.62	-5	-4.01099335538752E-4
1.64	1	8.02198671077504E-5
1.66	3	2.40659601323251E-4
1.68	-4	-3.20879468431001E-4
1.7	2	1.60439734215501E-4
1.72	-1	-8.02198671077504E-5
1.74	4	3.20879468431001E-4
1.76	-2	-1.60439734215501E-4
1.78	2	1.60439734215501E-4
1.8	-5	-4.01099335538752E-4
1.82	-4	-3.20879468431001E-4
1.84	0	0
1.86	-2	-1.60439734215501E-4
1.88	-6	-4.81319202646502E-4
1.9	-9	-7.21978803969753E-4
1.92	2	1.60439734215501E-4
1.94	-3	-2.40659601323251E-4
1.96	-3	-2.40659601323251E-4
1.98	-8	-6.41758936862003E-4
2	-4	-3.20879468431001E-4
2.02	1	8.02198671077504E-5
2.04	3	2.40659601323251E-4
2.06	8	6.41758936862003E-4
2.08	-3	-2.40659601323251E-4
2.1	-5	-4.01099335538752E-4
2.12	1	8.02198671077504E-5
2.14	1	8.02198671077504E-5
2.16	-13	-0.00104285827240075
2.18	-4	-3.20879468431001E-4
2.2	-5	-4.01099335538752E-4
2.22	-2	-1.60439734215501E-4
2.24	-10	-8.02198671077504E-4
2.26	-3	-2.40659601323251E-4
2.28	1	8.02198671077504E-5
2.3	2	1.60439734215501E-4
2.32	6	4.81319202646502E-4
2.34	3	2.40659601323251E-4
2.36	3	2.40659601323251E-4
2.38	6	4.81319202646502E-4
2.4	3	2.40659601323251E-4
2.42	-1	-8.02198671077504E-5
2.44	-6	-4.81319202646502E-4
2.46	-11	-8.82418538185254E-4
2.48	-1	-8.02198671077504E-5
2.5	3	2.40659601323251E-4
2.52	4	3.20879468431001E-4
2.54	-2	-1.60439734215501E-4
2.56	-5	-4.01099335538752E-4
2.58	-1	-8.02198671077504E-5
2.6	-3	-2.40659601323251E-4
2.62	-4	-3.20879468431001E-4
2.64	-1	-8.02198671077504E-5
2.66	-1	-8.02198671077504E-5
2.68	-6	-4.81319202646502E-4
2.7	-12	-9.62638405293004E-4
2.72	-4	-3.20879468431001E-4
2.74	0	0
2.76	-1	-8.02198671077504E-5
2.78	-3	-2.40659601323251E-4
2.8	4	3.20879468431001E-4
2.82	-3	-2.40659601323251E-4
2.84	-5	-4.01099335538752E-4
2.86	-6	-4.81319202646502E-4
2.88	-7	-5.61539069754253E-4
2.9	-2	-1.60439734215501E-4
2.92	2	1.60439734215501E-4
2.94	6	4.81319202646502E-4
2.96	7	5.61539069754253E-4
2.98	3	2.40659601323251E-4
3	2	1.60439734215501E-4
3.02	-1	-8.02198671077504E-5
3.04	1	8.02198671077504E-5
3.06	4	3.20879468431001E-4
3.08	-3	-2.40659601323251E-4
3.1	0	0
3.12	-8	-6.41758936862003E-4
3.14	-11	-8.82418538185254E-4
3.16	-4	-3.20879468431001E-4
3.18	-2	-1.60439734215501E-4
3.2	-1	-8.02198671077504E-5
3.22	1	8.02198671077504E-5
3.24	4	3.20879468431001E-4
3.26	-1	-8.02198671077504E-5
3.28	3	2.40659601323251E-4
3.3	3	2.40659601323251E-4
3.32	-1	-8.02198671077504E-5
3.34	-1	-8.02198671077504E-5
3.36	-4	-3.20879468431001E-4
3.38	-6	-4.81319202646502E-4
3.4	-1	-8.02198671077504E-5
3.42	0	0
3.44	-3	-2.40659601323251E-4
3.46	-2	-1.60439734215501E-4
3.48	15	0.00120329800661626
3.5	-1	-8.02198671077504E-5
3.52	1	8.02198671077504E-5
3.54	3	2.40659601323251E-4
3.56	4	3.20879468431001E-4
3.58	3	2.40659601323251E-4
3.6	1	8.02198671077504E-5
3.62	-2	-1.60439734215501E-4
3.64	9	7.21978803969753E-4
3.66	13	0.00104285827240075
3.68	11	8.82418538185254E-4
3.7	11	8.82418538185254E-4
3.72	9	7.21978803969753E-4
3.74	3	2.40659601323251E-4
3.76	-1	-8.02198671077504E-5
3.78	1	8.02198671077504E-5
3.8	6	4.81319202646502E-4
3.82	8	6.41758936862003E-4
3.84	1	8.02198671077504E-5
3.86	8	6.41758936862003E-4
3.88	11	8.82418538185254E-4
3.9	5	4.01099335538752E-4
3.92	7	5.61539069754253E-4
3.94	6	4.81319202646502E-4
3.96	-1	-8.02198671077504E-5
3.98	2	1.60439734215501E-4
4	4	3.20879468431001E-4
4.02	7	5.61539069754253E-4
4.04	0	0
4.06	2	1.60439734215501E-4
4.08	2	1.60439734215501E-4
4.1	4	3.20879468431001E-4
4.12	-2	-1.60439734215501E-4
4.14	-4	-3.20879468431001E-4
4.16	-6	-4.81319202646502E-4
4.18	-1	-8.02198671077504E-5
4.2	11	8.82418538185254E-4
4.22	5	4.01099335538752E-4
4.24	2	1.60439734215501E-4
4.26	-10	-8.02198671077504E-4
4.28	-6	-4.81319202646502E-4
4.3	1	8.02198671077504E-5
4.32	2	1.60439734215501E-4
4.34	9	7.21978803969753E-4
4.36	6	4.81319202646502E-4
4.38	6	4.81319202646502E-4
4.4	0	0
4.42	5	4.01099335538752E-4
4.44	1	8.02198671077504E-5
4.46	-1	-8.02198671077504E-5
4.48	-6	-4.81319202646502E-4
4.5	-1	-8.02198671077504E-5
4.52	1	8.02198671077504E-5
4.54	1	8.02198671077504E-5
4.56	2	1.60439734215501E-4
4.58	11	8.82418538185254E-4
4.6	12	9.62638405293004E-4
4.62	7	5.61539069754253E-4
4.64	5	4.01099335538752E-4
4.66	7	5.61539069754253E-4
4.68	-6	-4.81319202646502E-4
4.7	-4	-3.20879468431001E-4
4.72	-1	-8.02198671077504E-5
4.74	-11	-8.82418538185254E-4
4.76	-15	-0.00120329800661626
4.78	-4	-3.20879468431001E-4
4.8	-4	-3.20879468431001E-4
4.82	-4	-3.20879468431001E-4
4.84	2	1.60439734215501E-4
4.86	2	1.60439734215501E-4
4.88	-1	-8.02198671077504E-5
4.9	7	5.61539069754253E-4
4.92	5	4.01099335538752E-4
4.94	-6	-4.81319202646502E-4
4.96	-3	-2.40659601323251E-4
4.98	1	8.02198671077504E-5
5	2	1.60439734215501E-4
5.02	2	1.60439734215501E-4
5.04	-10	-8.02198671077504E-4
5.06	-3	-2.40659601323251E-4
5.08	5	4.01099335538752E-4
5.1	0	0
5.12	3	2.40659601323251E-4
5.14	-13	-0.00104285827240075
5.16	-2	-1.60439734215501E-4
5.18	2	1.60439734215501E-4
5.2	-2	-1.60439734215501E-4
5.22	-9	-7.21978803969753E-4
5.24	-1	-8.02198671077504E-5
5.26	5	4.01099335538752E-4
5.28	1	8.02198671077504E-5
5.3	1	8.02198671077504E-5
5.32	1	8.02198671077504E-5
5.34	5	4.01099335538752E-4
5.36	31	0.00248681588034026
5.38	13	0.00104285827240075
5.4	27	0.00216593641190926
5.42	9	7.21978803969753E-4
5.44	-2	-1.60439734215501E-4
5.46	-10	-8.02198671077504E-4
5.48	-7	-5.61539069754253E-4
5.5	-3	-2.40659601323251E-4
5.52	4	3.20879468431001E-4
5.54	-3	-2.40659601323251E-4
5.56	5	4.01099335538752E-4
5.58	6	4.81319202646502E-4
5.6	-5	-4.01099335538752E-4
5.62	2	1.60439734215501E-4
5.64	-5	-4.01099335538752E-4
5.66	2	1.60439734215501E-4
5.68	14	0.00112307813950851
5.7	10	8.02198671077504E-4
5.72	15	0.00120329800661626
5.74	6	4.81319202646502E-4
5.76	19	0.00152417747504726
5.78	18	0.00144395760793951
5.8	16	0.00128351787372401
5.82	5	4.01099335538752E-4
5.84	26	0.00208571654480151
5.86	31	0.00248681588034026
5.88	45	0.00360989401984877
5.9	46	0.00369011388695652
5.92	44	0.00352967415274102
5.94	32	0.00256703574744801
5.96	56	0.00449231255803402
5.98	68	0.00545495096332703
6	57	0.00457253242514177
6.02	47	0.00377033375406427
6.04	71	0.00569561056465028
6.06	76	0.00609670990018903
6.08	97	0.00778132710945178
6.1	96	0.00770110724234403
6.12	73	0.00585605029886578
6.14	95	0.00762088737523628
6.16	88	0.00705934830548203
6.18	106	0.00850330591342154
6.2	110	0.00882418538185254
6.22	118	0.00946594431871454
6.24	119	0.00954616418582229
6.26	97	0.00778132710945178
6.28	121	0.00970660392003779
6.3	139	0.0111505615279773
6.32	165	0.0132362780727788
6.34	127	0.0101879231226843
6.36	138	0.0110703416608695
6.38	118	0.00946594431871454
6.4	125	0.0100274833884688
6.42	122	0.00978682378714554
6.44	127	0.0101879231226843
6.46	129	0.0103483628568998
6.48	130	0.0104285827240075
6.5	108	0.00866374564763704
6.52	117	0.00938572445160679
6.54	112	0.00898462511606804
6.56	125	0.0100274833884688
6.58	119	0.00954616418582229
6.6	137	0.0109901217937618
6.62	121	0.00970660392003779
6.64	113	0.00906484498317579
6.66	101	0.00810220657788279
6.68	87	0.00697912843837428
6.7	113	0.00906484498317579
6.72	120	0.00962638405293004
6.74	84	0.00673846883705103
6.76	63	0.00505385162778827
6.78	81	0.00649780923572778
6.8	78	0.00625714963440453
6.82	79	0.00633736950151228
6.84	60	0.00481319202646502
6.86	77	0.00617692976729678
6.88	71	0.00569561056465028
6.9	48	0.00385055362117202
6.92	66	0.00529451122911152
6.94	59	0.00473297215935727
6.96	48	0.00385055362117202
6.98	52	0.00417143308960302
7	48	0.00385055362117202
7.02	31	0.00248681588034026
7.04	58	0.00465275229224952
7.06	54	0.00433187282381852
7.08	35	0.00280769534877126
7.1	45	0.00360989401984877
7.12	46	0.00369011388695652
7.14	34	0.00272747548166351
7.16	15	0.00120329800661626
7.18	9	7.21978803969753E-4
7.2	16	0.00128351787372401
7.22	12	9.62638405293004E-4
7.24	30	0.00240659601323251
7.26	47	0.00377033375406427
7.28	32	0.00256703574744801
7.3	20	0.00160439734215501
7.32	18	0.00144395760793951
7.34	20	0.00160439734215501
7.36	32	0.00256703574744801
7.38	6	4.81319202646502E-4
7.4	10	8.02198671077504E-4
7.42	12	9.62638405293004E-4
7.44	16	0.00128351787372401
7.46	19	0.00152417747504726
7.48	33	0.00264725561455576
7.5	19	0.00152417747504726
7.52	12	9.62638405293004E-4
7.54	-2	-1.60439734215501E-4
7.56	2	1.60439734215501E-4
7.58	26	0.00208571654480151
7.6	15	0.00120329800661626
7.62	8	6.41758936862003E-4
