Time [µs]	D2, v0J12	D2, v0J12
	200k shots	200k shots
Laser Power [mJ]		power corrected
4.38	-24	-1.26937358914977E-4
4.4	-25	-1.32226415536435E-4
4.42	29	1.53382642022264E-4
4.44	13	6.8757736078946E-5
4.46	-1	-5.28905662145739E-6
4.48	-17	-8.99139625647756E-5
4.5	-27	-1.4280452877935E-4
4.52	-36	-1.90406038372466E-4
4.54	-14	-7.40467927004034E-5
4.56	-20	-1.05781132429148E-4
4.58	-19	-1.0049207580769E-4
4.6	11	5.81796228360313E-5
4.62	-16	-8.46249059433182E-5
4.64	21	1.11070189050605E-4
4.66	-2	-1.05781132429148E-5
4.68	-8	-4.23124529716591E-5
4.7	-10	-5.28905662145739E-5
4.72	-7	-3.70233963502017E-5
4.74	-15	-7.93358493218608E-5
4.76	-39	-2.06273208236838E-4
4.78	-18	-9.5203019186233E-5
4.8	5	2.64452831072869E-5
4.82	-6	-3.17343397287443E-5
4.84	-6	-3.17343397287443E-5
4.86	-8	-4.23124529716591E-5
4.88	-19	-1.0049207580769E-4
4.9	-8	-4.23124529716591E-5
4.92	15	7.93358493218608E-5
4.94	3	1.58671698643722E-5
4.96	-1	-5.28905662145739E-6
4.98	-8	-4.23124529716591E-5
5	-25	-1.32226415536435E-4
5.02	9	4.76015095931165E-5
5.04	31	1.63960755265179E-4
5.06	-8	-4.23124529716591E-5
5.08	0	0
5.1	-30	-1.58671698643722E-4
5.12	-37	-1.95695094993923E-4
5.14	-21	-1.11070189050605E-4
5.16	-7	-3.70233963502017E-5
5.18	-34	-1.79827925129551E-4
5.2	-46	-2.4329660458704E-4
5.22	-58	-3.06765284044529E-4
5.24	-22	-1.16359245672063E-4
5.26	14	7.40467927004034E-5
5.28	-14	-7.40467927004034E-5
5.3	-48	-2.53874717829955E-4
5.32	-30	-1.58671698643722E-4
5.34	1	5.28905662145739E-6
5.36	17	8.99139625647756E-5
5.38	6	3.17343397287443E-5
5.4	-29	-1.53382642022264E-4
5.42	-54	-2.85609057558699E-4
5.44	-15	-7.93358493218608E-5
5.46	1	5.28905662145739E-6
5.48	0	0
5.5	12	6.34686794574887E-5
5.52	-31	-1.63960755265179E-4
5.54	6	3.17343397287443E-5
5.56	-15	-7.93358493218608E-5
5.58	-8	-4.23124529716591E-5
5.6	33	1.74538868508094E-4
5.62	-26	-1.37515472157892E-4
5.64	-42	-2.2214037810121E-4
5.66	-55	-2.90898114180156E-4
5.68	-6	-3.17343397287443E-5
5.7	-34	-1.79827925129551E-4
5.72	-8	-4.23124529716591E-5
5.74	7	3.70233963502017E-5
5.76	26	1.37515472157892E-4
5.78	26	1.37515472157892E-4
5.8	7	3.70233963502017E-5
5.82	-5	-2.64452831072869E-5
5.84	-10	-5.28905662145739E-5
5.86	-38	-2.00984151615381E-4
5.88	-25	-1.32226415536435E-4
5.9	-13	-6.8757736078946E-5
5.92	19	1.0049207580769E-4
5.94	19	1.0049207580769E-4
5.96	-6	-3.17343397287443E-5
5.98	1	5.28905662145739E-6
6	0	0
6.02	-55	-2.90898114180156E-4
6.04	-13	-6.8757736078946E-5
6.06	9	4.76015095931165E-5
6.08	-2	-1.05781132429148E-5
6.1	25	1.32226415536435E-4
6.12	61	3.22632453908901E-4
6.14	-1	-5.28905662145739E-6
6.16	0	0
6.18	4	2.11562264858296E-5
6.2	5	2.64452831072869E-5
6.22	1	5.28905662145739E-6
6.24	-34	-1.79827925129551E-4
6.26	-30	-1.58671698643722E-4
6.28	-27	-1.4280452877935E-4
6.3	-34	-1.79827925129551E-4
6.32	-58	-3.06765284044529E-4
6.34	-15	-7.93358493218608E-5
