Time [µs]	D2, v0J2, 04.12.	D2, v0J2, 04.12.
	100k shots	counts per shot
Laser Power [mJ]	scaled	power corrected
4.94	18.45	3.31515008234761E-4
4.96	20.11	3.61342374829324E-4
4.98	-0.609999999999985	-1.09606588088455E-5
5	27.62	4.96284256230031E-4
5.02	41.13	7.3903589640627E-4
5.04	-1.26999999999998	-2.28197322741539E-5
5.06	13.77	2.47423396389846E-4
5.08	23.79	4.27465693544984E-4
5.1	-22.1	-3.97099278156542E-4
5.12	22.39	4.02310083164026E-4
5.14	-10.82	-1.94416931658542E-4
5.16	-8.16	-1.46621271934723E-4
5.18	10.05	1.80581345949016E-4
5.2	-43.2	-7.76230263183829E-4
5.22	-17.01	-3.05640666128632E-4
5.24	5.16000000000003	9.27163925469578E-5
5.26	7.03	1.26317100698665E-4
5.28	7.24000000000001	1.30090442255809E-4
5.3	-38.54	-6.92498017201499E-4
5.32	-12.63	-2.26939542222494E-4
5.34	34.28	6.15953088470872E-4
5.36	9.78	1.75729906804117E-4
5.38	25.9	4.65378792047712E-4
5.4	-25.33	-4.55136864964036E-4
5.42	-5.75999999999999	-1.0349736842451E-4
5.44	-3.31	-5.94750502578351E-5
5.46	1.35000000000002	2.42571957244951E-5
5.48	-6.81999999999999	-1.22543759141521E-4
5.5	6.86000000000001	1.23262490866692E-4
5.52	17.52	3.14804495624553E-4
5.54	4.69	8.42712947762073E-5
5.56	-4.17999999999998	-7.51074652802868E-5
5.58	26.41	4.74542621543632E-4
5.6	32.43	5.8271174618175E-4
5.62	4.67000000000002	8.39119289136225E-5
5.64	21.01	3.77513838645654E-4
5.66	-2.12	-3.80927814340213E-5
5.68	-6.47999999999999	-1.16434539477574E-4
5.7	10.54	1.89385809582351E-4
5.72	-6.63	-1.19129783446963E-4
5.74	13.07	2.34845591199367E-4
5.76	31.58	5.67438697021883E-4
5.78	31.51	5.66180916502835E-4
5.8	21.43	3.85060521759941E-4
5.82	35.11	6.30866771768154E-4
5.84	7.52000000000001	1.35121564332E-4
5.86	-17.86	-3.20913715288499E-4
5.88	-2.31	-4.15067571285798E-5
5.9	-10.33	-1.85612468025207E-4
5.92	-19.67	-3.53436325852452E-4
5.94	-27.33	-4.91073451222547E-4
5.96	-3.09999999999999	-5.57017087006913E-5
5.98	28.94	5.20002403160648E-4
6	-26.99	-4.849642315586E-4
6.02	-15.16	-2.7239932383951E-4
6.04	-12.48	-2.24244298253106E-4
6.06	-38.48	-6.91419919613744E-4
6.08	-11.82	-2.12385224787798E-4
6.1	-1.47999999999999	-2.65930738312977E-5
6.12	27.54	4.94846792779691E-4
6.14	13.09	2.35204957061952E-4
6.16	13.05	2.34486225336782E-4
6.18	-13.31	-2.39157981550388E-4
6.2	-33.86	-6.08406405356584E-4
6.22	-29.07	-5.22338281267451E-4
6.24	-14.86	-2.67008835900733E-4
6.26	-31.33	-5.62946623739568E-4
6.28	-12.95	-2.32689396023856E-4
6.3	-4.69	-8.42712947762073E-5
6.32	-33.92	-6.0948450294434E-4
6.34	-33.39	-5.99961307585834E-4
6.36	-31.92	-5.73547916685829E-4
6.38	-60.15	-0.00108079283172471
6.4	-45.07	-8.09830971335536E-4
6.42	-15.9	-2.85695860755159E-4
6.44	-1.56	-2.80305372816383E-5
6.46	-13.33	-2.39517347412973E-4
6.48	9.18000000000001	1.64948930926564E-4
6.5	10.75	1.93159151139494E-4
6.52	18.24	3.27741666677617E-4
6.54	7.35000000000002	1.32066954500027E-4
6.56	-25.2	-4.52800986857233E-4
6.58	-19.58	-3.51819179470819E-4
6.6	-54.96	-9.87537390383871E-4
6.62	-33.75	-6.06429893112366E-4
6.64	-0.879999999999995	-1.58120979537446E-5
6.66	-29.43	-5.28806866793983E-4
6.68	2.31	4.15067571285798E-5
6.7	20.84	3.74459228813681E-4
6.72	-36.62	-6.57998894393329E-4
6.74	-18.39	-3.30436910647005E-4
6.76	5.46000000000001	9.81068804857341E-5
6.78	-9.70999999999998	-1.74472126285069E-4
6.8	17.65	3.17140373731356E-4
6.82	-2.69	-4.83347085176967E-5
6.84	-2.69	-4.83347085176967E-5
6.86	-22.92	-4.11833278522531E-4
6.88	-37.13	-6.67162723889249E-4
6.9	0.25	4.49207328231383E-6
6.92	45.31	8.14143361686558E-4
6.94	0.100000000000023	1.79682931292594E-6
6.96	-18.62	-3.34569618066733E-4
6.98	29.82	5.35814501114393E-4
7	0.330000000000013	5.92953673265447E-6
7.02	5.35000000000002	9.61303682415163E-5
7.04	2.95000000000002	5.30064647313034E-5
7.06	-10.11	-1.81659443536771E-4
7.08	-10.92	-1.96213760971468E-4
7.1	41.99	7.5448862849743E-4
7.12	13.14	2.36103371718415E-4
7.14	17.93	3.22171495807548E-4
7.16	-10.3	-1.85073419231329E-4
7.18	23.33	4.19200278705526E-4
7.2	-41.81	-7.51254335734164E-4
7.22	-9.23999999999998	-1.66027028514319E-4
7.24	2.27000000000001	4.07880254034097E-5
7.26	45.12	8.10729385991999E-4
7.28	2.74000000000001	4.92331231741597E-5
7.3	-14.77	-2.653916895191E-4
7.32	-29.09	-5.22697647130036E-4
7.34	-28.24	-5.07424597970169E-4
7.36	-7.03	-1.26317100698665E-4
7.38	-23.86	-4.28723474064031E-4
7.4	0.160000000000025	2.8749269006813E-6
7.42	23.95	4.30340620445665E-4
7.44	38.21	6.86568480468845E-4
7.46	-1.94	-3.48584886707552E-5
7.48	-20.94	-3.76256058126606E-4
7.5	-24.62	-4.42379376842265E-4
7.52	-10.22	-1.83635955780989E-4
7.54	-40.26	-7.23403481383818E-4
7.56	-29.58	-5.31502110763371E-4
7.58	-2.27999999999997	-4.09677083347016E-5
7.6	52.46	9.42616657560733E-4
7.62	33.78	6.06968941906244E-4
7.64	14.1	2.533529331225E-4
7.66	23.78	4.27286010613691E-4
7.68	-7.91999999999999	-1.42308881583702E-4
7.7	-7.19999999999999	-1.29371710530638E-4
7.72	15.16	2.72399323839511E-4
7.74	35.18	6.32124552287202E-4
7.76	36.48	6.55483333355234E-4
7.78	41.99	7.5448862849743E-4
7.8	26.1	4.68972450673564E-4
7.82	-16.68	-2.99711129395978E-4
7.84	-25.17	-4.52261938063356E-4
7.86	31.46	5.65282501846372E-4
7.88	30.12	5.4120498905317E-4
7.9	-12.22	-2.195725420395E-4
7.92	-50.11	-9.00391168706983E-4
7.94	-33.94	-6.09843868806925E-4
7.96	-35.49	-6.3769472315727E-4
7.98	5.44	9.77475146231488E-5
8	25.97	4.6663657256676E-4
8.02	23.44	4.21176790949744E-4
8.04	1.23000000000002	2.21010005489843E-5
8.06	19.5	3.50381716020478E-4
8.08	37.86	6.80279577873606E-4
8.1	41.86	7.52152750390627E-4
8.12	43.46	7.80902019397436E-4
8.14	69.52	0.00124915573834583
8.16	75.37	0.00135427025315197
8.18	32.78	5.89000648776989E-4
8.2	6.40000000000001	1.14997076027234E-4
8.22	44.69	8.03003019946419E-4
8.24	72.16	0.00129659203220706
8.26	79.01	0.00141967484014246
8.28	119.03	0.00213876593117526
8.3	95.37	0.00171363611573708
8.32	110.88	0.00199232434217183
8.34	73.29	0.00131689620344312
8.36	77.95	0.00140062844942545
8.38	107.84	0.00193770073105889
8.4	82.16	0.00147627496349962
8.42	70.4	0.00126496783629957
8.44	88.23	0.0015853425027942
8.46	141.5	0.00254251347778962
8.48	147.35	0.00264762799259577
8.5	138.86	0.00249507718392839
8.52	142.22	0.00255545064884269
8.54	130.22	0.00233983113129162
8.56	120.99	0.0021739837857086
8.58	105.63	0.00189799080324324
8.6	177.41	0.00318775488406118
8.62	168.56	0.00302873548986727
8.64	157.69	0.00283342014355227
8.66	191.01	0.00343212367061906
8.68	189.52	0.00340535091385646
8.7	149.29	0.00268248648126652
8.72	172.22	0.00309449944272035
8.74	153.46	0.00275741426361552
8.76	153.99	0.00276693745897402
8.78	199.22	0.00357964335721024
8.8	172.73	0.00310366327221627
8.82	156.84	0.0028181470943924
8.84	148.14	0.00266182294416788
8.86	150.67	0.0027072827257849
8.88	188.52	0.00338738262072721
8.9	224.07	0.00402615544147224
8.92	221.79	0.00398518773313753
8.94	186.41	0.00334946952222448
8.96	202.69	0.00364199333436876
8.98	145.5	0.00261438665030665
9	184.39	0.00331317357010339
9.02	136.42	0.00245123454869301
9.04	125.14	0.00224855220219501
9.06	142.71	0.00256425511247602
9.08	91.95	0.00165218455323503
9.1	99.82	0.00179359502016226
9.12	133.52	0.00239912649861817
9.14	162.05	0.00291176190159582
9.16	193.22	0.00347183359843471
9.18	119.65	0.0021499062729154
9.2	136.56	0.0024537501097311
9.22	141.73	0.00254664618520935
9.24	114.82	0.00206311941710109
9.26	122.41	0.00219949876195214
9.28	127.28	0.00228700434949161
9.3	106.22	0.0019085920961895
9.32	137.11	0.00246363267095219
9.34	131.47	0.00236229149770319
9.36	87.37	0.00156988977070304
9.38	112.75	0.00202592505032354
9.4	66.5	0.00119489149309548
9.42	84.58	0.00151975823287241
9.44	91.18	0.0016383489675255
9.46	102.9	0.00184893736300037
9.48	127.39	0.00228898086173583
9.5	131.94	0.00237073659547394
9.52	54.56	9.80350073132169E-4
9.54	33.56	6.03015917417808E-4
9.56	69.05	0.00124071064057508
9.58	78.71	0.00141428435220368
9.6	29.73	5.3419735473276E-4
9.62	53.58	9.62741145865499E-4
9.64	73.94	0.00132857559397714
9.66	60.07	0.00107935536827437
9.68	56.65	0.00101790380577231
9.7	57.03	0.00102473175716143
9.72	76.41	0.0013729572780064
9.74	53.41	9.59686536033525E-4
9.76	54.9	9.86459292796116E-4
9.78	53.58	9.62741145865499E-4
9.8	65.77	0.00118177463911112
9.82	69.94	0.00125670242146012
9.84	51.6	9.27163925469574E-4
9.86	54.94	9.87178024521286E-4
9.88	35.79	6.43085211096047E-4
9.9	31.77	5.70852672716441E-4
9.92	85.58	0.00153772652600167
9.94	67.96	0.00122112520106419
9.96	38.56	6.92857383064084E-4
9.98	16.69	2.99890812327271E-4
10	9.80000000000001	1.76089272666702E-4
10.02	34.58	6.21343576409648E-4
10.04	42.43	7.62394677474302E-4
10.06	14.41	2.58923103992569E-4
10.08	28.41	5.10479207802143E-4
10.1	11.69	2.10049346680994E-4
10.12	5.20000000000002	9.34351242721279E-5
10.14	19.58	3.51819179470819E-4
10.16	11.39	2.04658858742218E-4
10.18	40.66	7.30590798635521E-4
10.2	35.96	6.46139820928021E-4
10.22	62.02	0.00111439353987641
10.24	52.66	9.46210316186584E-4
10.26	6.09	1.09426905157165E-4
10.28	30.75	5.525250137246E-4
10.3	9.41	1.69081638346292E-4
10.32	53.11	9.54296048094749E-4
10.34	62.79	0.00112822912558594
10.36	64.62	0.00116111110201248
10.38	44.3	7.9599538562601E-4
10.4	36.79	6.61053504225303E-4
10.42	11.41	2.05018224604803E-4
10.44	13.28	2.3861893275651E-4
10.46	50.92	9.1494548614168E-4
10.48	10.77	1.9351851700208E-4
10.5	4.37	7.85214409748457E-5
10.52	6.30000000000001	1.13200246714309E-4
10.54	19.83	3.56311252753133E-4
10.56	23.45	4.21356473881037E-4
10.58	16.3	2.92883178006862E-4
10.6	27.92	5.01674744168808E-4
10.62	-9.60999999999999	-1.72675296972143E-4
10.64	11.28	2.02682346498E-4
10.66	23.66	4.25129815438181E-4
10.68	37.49	6.73631309415781E-4
10.7	41.83	7.51613701596749E-4
10.72	41.51	7.45863847795388E-4
10.74	59.34	0.00106623851429001
10.76	30.3	5.44439281816436E-4
10.78	9.37	1.68362906621122E-4
10.8	3.26000000000002	5.85766356013726E-5
10.82	57.02	0.00102455207423014
10.84	38.98	7.00404066178372E-4
10.86	32.83	5.89899063433452E-4
10.88	15.6	2.80305372816383E-4
10.9	34.28	6.15953088470872E-4
10.92	30.94	5.55938989419159E-4
10.94	23.83	4.28184425270154E-4
10.96	29	5.21080500748404E-4
10.98	18.15	3.26124520295984E-4
11	-1.75999999999999	-3.16241959074892E-5
11.02	18.83	3.38342959623878E-4
11.04	-9.22999999999999	-1.65847345583026E-4
11.06	-7.03999999999999	-1.26496783629957E-4
11.08	46.15	8.29236727915132E-4
11.1	23.17	4.16325351804845E-4
11.12	13.13	2.35923688787122E-4
11.14	5.62	1.00981807386415E-4
11.16	22.83	4.10216132140899E-4
11.18	0.320000000000007	5.74985380136183E-6
11.2	50.02	8.9877402232535E-4
11.22	27	4.85143914489893E-4
11.24	-15.25	-2.74016470221143E-4
