Time [µs]	v1J2	v1J2	
	75k shots	75k shots	
Laser Power [mJ]		power corrected	
4.6	-3	-4.83914831281562E-5
4.62	15	2.41957415640781E-4
4.64	15	2.41957415640781E-4
4.66	5	8.06524718802603E-5
4.68	2	3.22609887521041E-5
4.7	3	4.83914831281562E-5
4.72	27	4.35523348153406E-4
4.74	17	2.74218404392885E-4
4.76	10	1.61304943760521E-4
4.78	14	2.25826921264729E-4
4.8	10	1.61304943760521E-4
4.82	14	2.25826921264729E-4
4.84	14	2.25826921264729E-4
4.86	10	1.61304943760521E-4
4.88	10	1.61304943760521E-4
4.9	5	8.06524718802603E-5
4.92	23	3.71001370649198E-4
4.94	38	6.12958786289979E-4
4.96	15	2.41957415640781E-4
4.98	23	3.71001370649198E-4
5	36	5.80697797537875E-4
5.02	10	1.61304943760521E-4
5.04	-4	-6.45219775042083E-5
5.06	14	2.25826921264729E-4
5.08	13	2.09696426888677E-4
5.1	11	1.77435438136573E-4
5.12	6	9.67829662563124E-5
5.14	28	4.51653842529458E-4
5.16	24	3.8713186502525E-4
5.18	11	1.77435438136573E-4
5.2	11	1.77435438136573E-4
5.22	-14	-2.25826921264729E-4
5.24	-16	-2.58087910016833E-4
5.26	-13	-2.09696426888677E-4
5.28	33	5.32306314409718E-4
5.3	12	1.93565932512625E-4
5.32	-3	-4.83914831281562E-5
5.34	18	2.90348898768937E-4
5.36	37	5.96828291913927E-4
5.38	13	2.09696426888677E-4
5.4	32	5.16175820033666E-4
5.42	38	6.12958786289979E-4
5.44	15	2.41957415640781E-4
5.46	0	0
5.48	6	9.67829662563124E-5
5.5	4	6.45219775042083E-5
5.52	-11	-1.77435438136573E-4
5.54	2	3.22609887521041E-5
5.56	10	1.61304943760521E-4
5.58	-23	-3.71001370649198E-4
5.6	-25	-4.03262359401302E-4
5.62	13	2.09696426888677E-4
5.64	14	2.25826921264729E-4
5.66	21	3.38740381897093E-4
5.68	17	2.74218404392885E-4
5.7	13	2.09696426888677E-4
5.72	4	6.45219775042083E-5
5.74	18	2.90348898768937E-4
5.76	-4	-6.45219775042083E-5
5.78	9	1.45174449384469E-4
5.8	22	3.54870876273145E-4
5.82	14	2.25826921264729E-4
5.84	11	1.77435438136573E-4
5.86	16	2.58087910016833E-4
5.88	-13	-2.09696426888677E-4
5.9	-10	-1.61304943760521E-4
5.92	4	6.45219775042083E-5
5.94	0	0
5.96	17	2.74218404392885E-4
5.98	33	5.32306314409718E-4
6	13	2.09696426888677E-4
6.02	17	2.74218404392885E-4
6.04	15	2.41957415640781E-4
6.06	9	1.45174449384469E-4
6.08	11	1.77435438136573E-4
6.1	-9	-1.45174449384469E-4
6.12	8	1.29043955008417E-4
6.14	8	1.29043955008417E-4
6.16	12	1.93565932512625E-4
6.18	24	3.8713186502525E-4
6.2	10	1.61304943760521E-4
6.22	25	4.03262359401302E-4
6.24	35	5.64567303161822E-4
6.26	23	3.71001370649198E-4
6.28	-5	-8.06524718802603E-5
6.3	-10	-1.61304943760521E-4
6.32	10	1.61304943760521E-4
6.34	-1	-1.61304943760521E-5
6.36	-6	-9.67829662563124E-5
6.38	18	2.90348898768937E-4
6.4	39	6.29089280666031E-4
6.42	39	6.29089280666031E-4
6.44	6	9.67829662563124E-5
6.46	9	1.45174449384469E-4
6.48	18	2.90348898768937E-4
6.5	7	1.12913460632364E-4
6.52	12	1.93565932512625E-4
6.54	25	4.03262359401302E-4
6.56	44	7.09741752546291E-4
