Time [µs]	v0J7	v0J7
	50k shots	50k shots
Laser Power [mJ]		power corrected
4.5	4	1.26002202880119E-4
4.52	1	3.15005507200297E-5
4.54	-2	-6.30011014400594E-5
4.56	-2	-6.30011014400594E-5
4.58	-7	-2.20503855040208E-4
4.6	-13	-4.09507159360386E-4
4.62	5	1.57502753600148E-4
4.64	-4	-1.26002202880119E-4
4.66	3	9.4501652160089E-5
4.68	0	0
4.7	-10	-3.15005507200297E-4
4.72	-18	-5.67009912960534E-4
4.74	0	0
4.76	5	1.57502753600148E-4
4.78	14	4.41007710080415E-4
4.8	12	3.78006608640356E-4
4.82	23	7.24512666560683E-4
4.84	-6	-1.89003304320178E-4
4.86	-10	-3.15005507200297E-4
4.88	-6	-1.89003304320178E-4
4.9	-9	-2.83504956480267E-4
4.92	0	0
4.94	7	2.20503855040208E-4
4.96	-9	-2.83504956480267E-4
4.98	-31	-9.7651707232092E-4
5	-12	-3.78006608640356E-4
5.02	21	6.61511565120623E-4
5.04	25	7.87513768000742E-4
5.06	23	7.24512666560683E-4
5.08	14	4.41007710080415E-4
5.1	6	1.89003304320178E-4
5.12	12	3.78006608640356E-4
5.14	15	4.72508260800445E-4
5.16	7	2.20503855040208E-4
5.18	-2	-6.30011014400594E-5
5.2	9	2.83504956480267E-4
5.22	1	3.15005507200297E-5
5.24	10	3.15005507200297E-4
5.26	17	5.35509362240505E-4
5.28	6	1.89003304320178E-4
5.3	5	1.57502753600148E-4
5.32	-2	-6.30011014400594E-5
5.34	-1	-3.15005507200297E-5
5.36	1	3.15005507200297E-5
5.38	4	1.26002202880119E-4
5.4	-14	-4.41007710080415E-4
5.42	-8	-2.52004405760237E-4
5.44	-1	-3.15005507200297E-5
5.46	16	5.04008811520475E-4
5.48	5	1.57502753600148E-4
5.5	9	2.83504956480267E-4
5.52	4	1.26002202880119E-4
5.54	-7	-2.20503855040208E-4
5.56	-12	-3.78006608640356E-4
5.58	5	1.57502753600148E-4
5.6	17	5.35509362240505E-4
5.62	8	2.52004405760237E-4
5.64	0	0
5.66	5	1.57502753600148E-4
5.68	15	4.72508260800445E-4
5.7	12	3.78006608640356E-4
5.72	-2	-6.30011014400594E-5
5.74	-6	-1.89003304320178E-4
5.76	7	2.20503855040208E-4
5.78	7	2.20503855040208E-4
5.8	18	5.67009912960534E-4
5.82	20	6.30011014400594E-4
5.84	-3	-9.4501652160089E-5
5.86	17	5.35509362240505E-4
5.88	18	5.67009912960534E-4
5.9	29	9.13515970880861E-4
5.92	22	6.93012115840653E-4
5.94	20	6.30011014400594E-4
5.96	21	6.61511565120623E-4
5.98	16	5.04008811520475E-4
6	28	8.82015420160831E-4
6.02	18	5.67009912960534E-4
6.04	31	9.7651707232092E-4
6.06	36	0.00113401982592107
6.08	29	9.13515970880861E-4
6.1	32	0.00100801762304095
6.12	26	8.19014318720772E-4
6.14	45	0.00141752478240134
6.16	39	0.00122852147808116
6.18	27	8.50514869440801E-4
6.2	44	0.00138602423168131
6.22	51	0.00160652808672151
6.24	77	0.00242554240544228
6.26	80	0.00252004405760237
6.28	68	0.00214203744896202
6.3	78	0.00245704295616231
6.32	87	0.00274054791264258
6.34	100	0.00315005507200297
6.36	113	0.00355956223136335
6.38	103	0.00324455672416306
6.4	78	0.00245704295616231
6.42	118	0.0037170649849635
6.44	132	0.00415807269504392
6.46	123	0.00387456773856365
6.48	106	0.00333905837632315
6.5	127	0.00400056994144377
6.52	124	0.00390606828928368
6.54	103	0.00324455672416306
6.56	113	0.00355956223136335
6.58	129	0.00406357104288383
6.6	117	0.00368556443424347
6.62	114	0.00359106278208338
6.64	129	0.00406357104288383
6.66	146	0.00459908040512433
6.68	149	0.00469358205728442
6.7	138	0.0043470759993641
6.72	123	0.00387456773856365
6.74	155	0.0048825853616046
6.76	118	0.0037170649849635
6.78	150	0.00472508260800445
6.8	134	0.00422107379648398
6.82	132	0.00415807269504392
6.84	115	0.00362256333280341
6.86	121	0.00381156663712359
6.88	107	0.00337055892704318
6.9	80	0.00252004405760237
6.92	105	0.00330755782560312
6.94	115	0.00362256333280341
6.96	126	0.00396906939072374
6.98	148	0.00466208150656439
7	107	0.00337055892704318
7.02	130	0.00409507159360386
7.04	107	0.00337055892704318
7.06	114	0.00359106278208338
7.08	111	0.00349656112992329
7.1	74	0.0023310407532822
7.12	77	0.00242554240544228
7.14	79	0.00248854350688234
7.16	75	0.00236254130400223
7.18	80	0.00252004405760237
7.2	88	0.00277204846336261
7.22	91	0.0028665501155227
7.24	90	0.00283504956480267
7.26	71	0.00223653910112211
7.28	85	0.00267754681120252
7.3	49	0.00154352698528145
7.32	70	0.00220503855040208
7.34	72	0.00226803965184214
7.36	88	0.00277204846336261
7.38	64	0.0020160352460819
7.4	64	0.0020160352460819
7.42	65	0.00204753579680193
7.44	60	0.00189003304320178
7.46	58	0.00182703194176172
7.48	65	0.00204753579680193
7.5	50	0.00157502753600148
7.52	69	0.00217353799968205
7.54	50	0.00157502753600148
7.56	36	0.00113401982592107
7.58	55	0.00173253028960163
7.6	40	0.00126002202880119
