Time [µs]	H2 v1J7	H2 v1J7	
	100k shots	100k shots	
Laser Power [mJ]		power corrected	
4.56	8	3.27904733341996E-4
4.58	0	0
4.6	-6	-2.45928550006497E-4
4.62	-12	-4.91857100012993E-4
4.64	2	8.19761833354989E-5
4.66	6	2.45928550006497E-4
4.68	5	2.04940458338747E-4
4.7	11	4.50869008345244E-4
4.72	-2	-8.19761833354989E-5
4.74	-1	-4.09880916677494E-5
4.76	0	0
4.78	-4	-1.63952366670998E-4
4.8	-3	-1.22964275003248E-4
4.82	-13	-5.32845191680743E-4
4.84	-3	-1.22964275003248E-4
4.86	-12	-4.91857100012993E-4
4.88	1	4.09880916677494E-5
4.9	8	3.27904733341996E-4
4.92	-3	-1.22964275003248E-4
4.94	-7	-2.86916641674246E-4
4.96	-8	-3.27904733341996E-4
4.98	-3	-1.22964275003248E-4
5	-7	-2.86916641674246E-4
5.02	-16	-6.55809466683991E-4
5.04	-8	-3.27904733341996E-4
5.06	12	4.91857100012993E-4
5.08	18	7.3778565001949E-4
5.1	18	7.3778565001949E-4
5.12	5	2.04940458338747E-4
5.14	7	2.86916641674246E-4
5.16	3	1.22964275003248E-4
5.18	-2	-8.19761833354989E-5
5.2	-2	-8.19761833354989E-5
5.22	8	3.27904733341996E-4
5.24	-2	-8.19761833354989E-5
5.26	-2	-8.19761833354989E-5
5.28	10	4.09880916677494E-4
5.3	-1	-4.09880916677494E-5
5.32	1	4.09880916677494E-5
5.34	-2	-8.19761833354989E-5
5.36	23	9.42726108358237E-4
5.38	5	2.04940458338747E-4
5.4	11	4.50869008345244E-4
5.42	6	2.45928550006497E-4
5.44	3	1.22964275003248E-4
5.46	1	4.09880916677494E-5
5.48	11	4.50869008345244E-4
5.5	9	3.68892825009745E-4
5.52	3	1.22964275003248E-4
5.54	9	3.68892825009745E-4
5.56	14	5.73833283348492E-4
5.58	3	1.22964275003248E-4
5.6	-2	-8.19761833354989E-5
5.62	11	4.50869008345244E-4
5.64	1	4.09880916677494E-5
5.66	-5	-2.04940458338747E-4
5.68	8	3.27904733341996E-4
5.7	-1	-4.09880916677494E-5
5.72	10	4.09880916677494E-4
5.74	-1	-4.09880916677494E-5
5.76	8	3.27904733341996E-4
5.78	12	4.91857100012993E-4
5.8	-2	-8.19761833354989E-5
5.82	-2	-8.19761833354989E-5
5.84	2	8.19761833354989E-5
5.86	-15	-6.14821375016241E-4
5.88	-2	-8.19761833354989E-5
5.9	-7	-2.86916641674246E-4
5.92	-6	-2.45928550006497E-4
5.94	-13	-5.32845191680743E-4
5.96	-3	-1.22964275003248E-4
5.98	4	1.63952366670998E-4
6	3	1.22964275003248E-4
6.02	18	7.3778565001949E-4
6.04	10	4.09880916677494E-4
6.06	2	8.19761833354989E-5
6.08	10	4.09880916677494E-4
6.1	18	7.3778565001949E-4
6.12	4	1.63952366670998E-4
6.14	-4	-1.63952366670998E-4
6.16	-8	-3.27904733341996E-4
6.18	10	4.09880916677494E-4
6.2	6	2.45928550006497E-4
6.22	12	4.91857100012993E-4
6.24	9	3.68892825009745E-4
6.26	1	4.09880916677494E-5
6.28	5	2.04940458338747E-4
6.3	13	5.32845191680743E-4
6.32	4	1.63952366670998E-4
6.34	1	4.09880916677494E-5
6.36	-2	-8.19761833354989E-5
6.38	-2	-8.19761833354989E-5
6.4	13	5.32845191680743E-4
6.42	25	0.00102470229169374
6.44	5	2.04940458338747E-4
6.46	-1	-4.09880916677494E-5
6.48	22	9.01738016690488E-4
6.5	12	4.91857100012993E-4
6.52	14	5.73833283348492E-4
6.54	28	0.00114766656669698
6.56	25	0.00102470229169374
6.58	27	0.00110667847502923
6.6	27	0.00110667847502923
6.62	31	0.00127063084170023
6.64	37	0.00151655939170673
6.66	28	0.00114766656669698
