Time [µs]	H2 v1J3	H2 v1J3
	50k shots	50k shots
Laser Power [mJ]		power corrected
4.54	-3	-2.57605023887447E-4
4.56	1	8.58683412958157E-5
4.58	7	6.0107838907071E-4
4.6	10	8.58683412958157E-4
4.62	0	0
4.64	-4	-3.43473365183263E-4
4.66	0	0
4.68	-7	-6.0107838907071E-4
4.7	-3	-2.57605023887447E-4
4.72	-7	-6.0107838907071E-4
4.74	-3	-2.57605023887447E-4
4.76	3	2.57605023887447E-4
4.78	6	5.15210047774894E-4
4.8	4	3.43473365183263E-4
4.82	-3	-2.57605023887447E-4
4.84	-4	-3.43473365183263E-4
4.86	4	3.43473365183263E-4
4.88	5	4.29341706479079E-4
4.9	5	4.29341706479079E-4
4.92	6	5.15210047774894E-4
4.94	2	1.71736682591631E-4
4.96	-3	-2.57605023887447E-4
4.98	-3	-2.57605023887447E-4
5	3	2.57605023887447E-4
5.02	3	2.57605023887447E-4
5.04	1	8.58683412958157E-5
5.06	-3	-2.57605023887447E-4
5.08	-1	-8.58683412958157E-5
5.1	5	4.29341706479079E-4
5.12	-3	-2.57605023887447E-4
5.14	3	2.57605023887447E-4
5.16	8	6.86946730366526E-4
5.18	10	8.58683412958157E-4
5.2	9	7.72815071662341E-4
5.22	4	3.43473365183263E-4
5.24	-2	-1.71736682591631E-4
5.26	-2	-1.71736682591631E-4
5.28	6	5.15210047774894E-4
5.3	8	6.86946730366526E-4
5.32	15	0.00128802511943724
5.34	11	9.44551754253973E-4
5.36	2	1.71736682591631E-4
5.38	-3	-2.57605023887447E-4
5.4	8	6.86946730366526E-4
5.42	-3	-2.57605023887447E-4
5.44	1	8.58683412958157E-5
5.46	2	1.71736682591631E-4
5.48	-1	-8.58683412958157E-5
5.5	11	9.44551754253973E-4
5.52	3	2.57605023887447E-4
5.54	7	6.0107838907071E-4
5.56	2	1.71736682591631E-4
5.58	2	1.71736682591631E-4
5.6	3	2.57605023887447E-4
5.62	0	0
5.64	-9	-7.72815071662341E-4
5.66	2	1.71736682591631E-4
5.68	5	4.29341706479079E-4
5.7	8	6.86946730366526E-4
5.72	3	2.57605023887447E-4
5.74	-2	-1.71736682591631E-4
5.76	-11	-9.44551754253973E-4
5.78	3	2.57605023887447E-4
5.8	7	6.0107838907071E-4
5.82	13	0.0011162884368456
5.84	16	0.00137389346073305
5.86	7	6.0107838907071E-4
5.88	2	1.71736682591631E-4
5.9	3	2.57605023887447E-4
5.92	6	5.15210047774894E-4
5.94	6	5.15210047774894E-4
5.96	3	2.57605023887447E-4
5.98	4	3.43473365183263E-4
6	10	8.58683412958157E-4
6.02	14	0.00120215677814142
6.04	10	8.58683412958157E-4
6.06	26	0.00223257687369121
6.08	31	0.00266191858017029
6.1	29	0.00249018189757866
6.12	18	0.00154563014332468
6.14	28	0.00240431355628284
6.16	35	0.00300539194535355
6.18	44	0.00377820701701589
6.2	29	0.00249018189757866
6.22	25	0.00214670853239539
6.24	27	0.00231844521498702
6.26	23	0.00197497184980376
6.28	44	0.00377820701701589
6.3	43	0.00369233867572008
6.32	54	0.00463689042997405
