Time [µs]	D2, v0J8	D2, v0J8
	100k shots	counts per shot
Laser Power [mJ]		power corrected
0	--	--
0.02	--	--
0.04	--	--
0.06	--	--
0.08	--	--
0.1	--	--
0.12	--	--
0.14	--	--
0.16	--	--
0.18	--	--
0.2	--	--
0.22	--	--
0.24	--	--
0.26	--	--
0.28	--	--
0.3	--	--
0.32	--	--
0.34	--	--
0.36	--	--
0.38	--	--
0.4	--	--
0.42	--	--
0.44	--	--
0.46	--	--
0.48	--	--
0.5	--	--
0.52	--	--
0.54	--	--
0.56	--	--
0.58	--	--
0.6	--	--
0.62	--	--
0.64	--	--
0.66	--	--
0.68	--	--
0.7	--	--
0.72	--	--
0.74	--	--
0.76	--	--
0.78	--	--
0.8	--	--
0.82	--	--
0.84	--	--
0.86	--	--
0.88	--	--
0.9	--	--
0.92	--	--
0.94	--	--
0.96	--	--
0.98	--	--
1	--	--
1.02	--	--
1.04	--	--
1.06	--	--
1.08	--	--
1.1	--	--
1.12	--	--
1.14	--	--
1.16	--	--
1.18	--	--
1.2	--	--
1.22	--	--
1.24	--	--
1.26	--	--
1.28	--	--
1.3	--	--
1.32	--	--
1.34	--	--
1.36	--	--
1.38	--	--
1.4	--	--
1.42	--	--
1.44	--	--
1.46	--	--
1.48	--	--
1.5	--	--
1.52	--	--
1.54	--	--
1.56	--	--
1.58	--	--
1.6	--	--
1.62	-18	-2.16722712117471E-4
1.64	-24	-2.88963616156628E-4
1.66	-12	-1.44481808078314E-4
1.68	0	0
1.7	40	4.81606026927713E-4
1.72	9	1.08361356058735E-4
1.74	25	3.01003766829821E-4
1.76	-31	-3.73244670868978E-4
1.78	-63	-7.58529492411148E-4
1.8	-22	-2.64883314810242E-4
1.82	-5	-6.02007533659641E-5
1.84	-22	-2.64883314810242E-4
1.86	-12	-1.44481808078314E-4
1.88	1	1.20401506731928E-5
1.9	-21	-2.52843164137049E-4
1.92	-21	-2.52843164137049E-4
1.94	-26	-3.13043917503013E-4
1.96	-34	-4.09365122888556E-4
1.98	-28	-3.37124218849399E-4
2	-8	-9.63212053855426E-5
2.02	6	7.2240904039157E-5
2.04	28	3.37124218849399E-4
2.06	28	3.37124218849399E-4
2.08	-32	-3.8528482154217E-4
2.1	-49	-5.89967382986448E-4
2.12	-20	-2.40803013463857E-4
2.14	-33	-3.97324972215363E-4
2.16	-21	-2.52843164137049E-4
2.18	-13	-1.56521958751507E-4
2.2	0	0
2.22	6	7.2240904039157E-5
2.24	24	2.88963616156628E-4
2.26	25	3.01003766829821E-4
2.28	-14	-1.685621094247E-4
2.3	-31	-3.73244670868978E-4
2.32	-24	-2.88963616156628E-4
2.34	2	2.40803013463857E-5
2.36	13	1.56521958751507E-4
2.38	15	1.80602260097892E-4
2.4	9	1.08361356058735E-4
2.42	42	5.05686328274099E-4
2.44	11	1.32441657405121E-4
2.46	6	7.2240904039157E-5
2.48	-3	-3.61204520195785E-5
2.5	19	2.28762862790664E-4
2.52	-1	-1.20401506731928E-5
2.54	18	2.16722712117471E-4
2.56	20	2.40803013463857E-4
2.58	8	9.63212053855426E-5
2.6	3	3.61204520195785E-5
2.62	-16	-1.92642410771085E-4
2.64	-24	-2.88963616156628E-4
2.66	-24	-2.88963616156628E-4
2.68	-8	-9.63212053855426E-5
2.7	4	4.81606026927713E-5
2.72	4	4.81606026927713E-5
2.74	5	6.02007533659641E-5
2.76	-6	-7.2240904039157E-5
2.78	-3	-3.61204520195785E-5
2.8	-7	-8.42810547123498E-5
2.82	4	4.81606026927713E-5
2.84	-17	-2.04682561444278E-4
2.86	-2	-2.40803013463857E-5
2.88	-2	-2.40803013463857E-5
2.9	-13	-1.56521958751507E-4
2.92	0	0
2.94	-1	-1.20401506731928E-5
2.96	2	2.40803013463857E-5
2.98	8	9.63212053855426E-5
3	-3	-3.61204520195785E-5
3.02	-3	-3.61204520195785E-5
3.04	-7	-8.42810547123498E-5
3.06	-5	-6.02007533659641E-5
3.08	-11	-1.32441657405121E-4
3.1	1	1.20401506731928E-5
3.12	-11	-1.32441657405121E-4
3.14	7	8.42810547123498E-5
3.16	-14	-1.685621094247E-4
3.18	-22	-2.64883314810242E-4
3.2	-24	-2.88963616156628E-4
3.22	-6	-7.2240904039157E-5
3.24	1	1.20401506731928E-5
3.26	11	1.32441657405121E-4
3.28	11	1.32441657405121E-4
3.3	6	7.2240904039157E-5
3.32	-7	-8.42810547123498E-5
3.34	-2	-2.40803013463857E-5
3.36	19	2.28762862790664E-4
3.38	-1	-1.20401506731928E-5
3.4	14	1.685621094247E-4
3.42	2	2.40803013463857E-5
3.44	-1	-1.20401506731928E-5
3.46	19	2.28762862790664E-4
3.48	-5	-6.02007533659641E-5
3.5	10	1.20401506731928E-4
3.52	10	1.20401506731928E-4
3.54	0	0
3.56	-17	-2.04682561444278E-4
3.58	-13	-1.56521958751507E-4
3.6	3	3.61204520195785E-5
3.62	35	4.21405273561749E-4
3.64	35	4.21405273561749E-4
3.66	1	1.20401506731928E-5
3.68	-7	-8.42810547123498E-5
3.7	-1	-1.20401506731928E-5
3.72	-19	-2.28762862790664E-4
3.74	-15	-1.80602260097892E-4
3.76	11	1.32441657405121E-4
3.78	-2	-2.40803013463857E-5
3.8	-1	-1.20401506731928E-5
3.82	-6	-7.2240904039157E-5
3.84	-19	-2.28762862790664E-4
3.86	-6	-7.2240904039157E-5
3.88	41	4.93646177600906E-4
3.9	25	3.01003766829821E-4
3.92	7	8.42810547123498E-5
3.94	17	2.04682561444278E-4
3.96	-6	-7.2240904039157E-5
3.98	-7	-8.42810547123498E-5
4	-23	-2.76923465483435E-4
4.02	-33	-3.97324972215363E-4
4.04	-6	-7.2240904039157E-5
4.06	-2	-2.40803013463857E-5
4.08	-13	-1.56521958751507E-4
4.1	-1	-1.20401506731928E-5
4.12	-27	-3.25084068176206E-4
4.14	-18	-2.16722712117471E-4
4.16	-12	-1.44481808078314E-4
4.18	-12	-1.44481808078314E-4
4.2	16	1.92642410771085E-4
4.22	32	3.8528482154217E-4
4.24	11	1.32441657405121E-4
4.26	-13	-1.56521958751507E-4
4.28	-30	-3.61204520195785E-4
4.3	-32	-3.8528482154217E-4
4.32	-5	-6.02007533659641E-5
4.34	-16	-1.92642410771085E-4
4.36	5	6.02007533659641E-5
4.38	-14	-1.685621094247E-4
4.4	-6	-7.2240904039157E-5
4.42	-10	-1.20401506731928E-4
4.44	6	7.2240904039157E-5
4.46	10	1.20401506731928E-4
4.48	-26	-3.13043917503013E-4
4.5	9	1.08361356058735E-4
4.52	-2	-2.40803013463857E-5
4.54	-38	-4.57525725581327E-4
4.56	-2	-2.40803013463857E-5
4.58	-7	-8.42810547123498E-5
4.6	-28	-3.37124218849399E-4
4.62	-9	-1.08361356058735E-4
4.64	-8	-9.63212053855426E-5
4.66	3	3.61204520195785E-5
4.68	31	3.73244670868978E-4
4.7	4	4.81606026927713E-5
4.72	4	4.81606026927713E-5
4.74	3	3.61204520195785E-5
4.76	-11	-1.32441657405121E-4
4.78	18	2.16722712117471E-4
4.8	-16	-1.92642410771085E-4
4.82	-25	-3.01003766829821E-4
4.84	-9	-1.08361356058735E-4
4.86	-19	-2.28762862790664E-4
4.88	6	7.2240904039157E-5
4.9	-9	-1.08361356058735E-4
4.92	-18	-2.16722712117471E-4
4.94	15	1.80602260097892E-4
4.96	18	2.16722712117471E-4
4.98	-14	-1.685621094247E-4
5	1	1.20401506731928E-5
5.02	-3	-3.61204520195785E-5
5.04	12	1.44481808078314E-4
5.06	-4	-4.81606026927713E-5
5.08	-31	-3.73244670868978E-4
5.1	-4	-4.81606026927713E-5
5.12	-4	-4.81606026927713E-5
5.14	-23	-2.76923465483435E-4
5.16	7	8.42810547123498E-5
5.18	18	2.16722712117471E-4
5.2	7	8.42810547123498E-5
5.22	-6	-7.2240904039157E-5
5.24	-25	-3.01003766829821E-4
5.26	-23	-2.76923465483435E-4
5.28	-13	-1.56521958751507E-4
5.3	-29	-3.49164369522592E-4
5.32	-15	-1.80602260097892E-4
5.34	1	1.20401506731928E-5
5.36	17	2.04682561444278E-4
5.38	14	1.685621094247E-4
5.4	-17	-2.04682561444278E-4
5.42	0	0
5.44	11	1.32441657405121E-4
5.46	4	4.81606026927713E-5
5.48	-2	-2.40803013463857E-5
5.5	-1	-1.20401506731928E-5
5.52	7	8.42810547123498E-5
5.54	10	1.20401506731928E-4
5.56	-28	-3.37124218849399E-4
5.58	-8	-9.63212053855426E-5
5.6	-10	-1.20401506731928E-4
5.62	6	7.2240904039157E-5
5.64	-8	-9.63212053855426E-5
5.66	-21	-2.52843164137049E-4
5.68	-34	-4.09365122888556E-4
5.7	-45	-5.41806780293677E-4
5.72	5	6.02007533659641E-5
5.74	-13	-1.56521958751507E-4
5.76	-24	-2.88963616156628E-4
5.78	11	1.32441657405121E-4
5.8	-12	-1.44481808078314E-4
5.82	-36	-4.33445424234942E-4
5.84	-41	-4.93646177600906E-4
5.86	-14	-1.685621094247E-4
5.88	17	2.04682561444278E-4
5.9	7	8.42810547123498E-5
5.92	-32	-3.8528482154217E-4
5.94	-2	-2.40803013463857E-5
5.96	-16	-1.92642410771085E-4
5.98	-6	-7.2240904039157E-5
6	-10	-1.20401506731928E-4
6.02	-25	-3.01003766829821E-4
6.04	-35	-4.21405273561749E-4
6.06	-11	-1.32441657405121E-4
6.08	3	3.61204520195785E-5
6.1	-4	-4.81606026927713E-5
6.12	-9	-1.08361356058735E-4
6.14	5	6.02007533659641E-5
6.16	-10	-1.20401506731928E-4
6.18	-22	-2.64883314810242E-4
6.2	-32	-3.8528482154217E-4
6.22	9	1.08361356058735E-4
6.24	12	1.44481808078314E-4
6.26	19	2.28762862790664E-4
6.28	3	3.61204520195785E-5
6.3	-14	-1.685621094247E-4
6.32	-21	-2.52843164137049E-4
6.34	-38	-4.57525725581327E-4
6.36	-45	-5.41806780293677E-4
6.38	-6	-7.2240904039157E-5
6.4	-14	-1.685621094247E-4
6.42	1	1.20401506731928E-5
6.44	16	1.92642410771085E-4
6.46	-6	-7.2240904039157E-5
6.48	13	1.56521958751507E-4
6.5	15	1.80602260097892E-4
6.52	-24	-2.88963616156628E-4
6.54	-29	-3.49164369522592E-4
6.56	11	1.32441657405121E-4
6.58	4	4.81606026927713E-5
6.6	-26	-3.13043917503013E-4
6.62	25	3.01003766829821E-4
6.64	2	2.40803013463857E-5
6.66	-33	-3.97324972215363E-4
6.68	-1	-1.20401506731928E-5
6.7	5	6.02007533659641E-5
6.72	-4	-4.81606026927713E-5
6.74	-13	-1.56521958751507E-4
6.76	-10	-1.20401506731928E-4
6.78	13	1.56521958751507E-4
6.8	18	2.16722712117471E-4
6.82	16	1.92642410771085E-4
6.84	25	3.01003766829821E-4
6.86	-13	-1.56521958751507E-4
6.88	-29	-3.49164369522592E-4
6.9	-40	-4.81606026927713E-4
6.92	-12	-1.44481808078314E-4
6.94	25	3.01003766829821E-4
6.96	-15	-1.80602260097892E-4
6.98	3	3.61204520195785E-5
7	-4	-4.81606026927713E-5
7.02	-13	-1.56521958751507E-4
7.04	-9	-1.08361356058735E-4
7.06	11	1.32441657405121E-4
7.08	28	3.37124218849399E-4
7.1	6	7.2240904039157E-5
7.12	-14	-1.685621094247E-4
7.14	7	8.42810547123498E-5
7.16	-11	-1.32441657405121E-4
7.18	17	2.04682561444278E-4
7.2	-7	-8.42810547123498E-5
7.22	-26	-3.13043917503013E-4
7.24	9	1.08361356058735E-4
7.26	17	2.04682561444278E-4
7.28	0	0
7.3	-45	-5.41806780293677E-4
7.32	-30	-3.61204520195785E-4
7.34	4	4.81606026927713E-5
7.36	24	2.88963616156628E-4
7.38	-24	-2.88963616156628E-4
7.4	-12	-1.44481808078314E-4
7.42	-28	-3.37124218849399E-4
7.44	3	3.61204520195785E-5
7.46	-1	-1.20401506731928E-5
7.48	-30	-3.61204520195785E-4
7.5	-7	-8.42810547123498E-5
7.52	-11	-1.32441657405121E-4
7.54	-15	-1.80602260097892E-4
7.56	-27	-3.25084068176206E-4
7.58	35	4.21405273561749E-4
7.6	-8	-9.63212053855426E-5
7.62	-31	-3.73244670868978E-4
7.64	-2	-2.40803013463857E-5
7.66	34	4.09365122888556E-4
7.68	14	1.685621094247E-4
7.7	-6	-7.2240904039157E-5
7.72	9	1.08361356058735E-4
7.74	-31	-3.73244670868978E-4
7.76	-39	-4.6956587625452E-4
7.78	-56	-6.74248437698798E-4
7.8	-53	-6.3812798567922E-4
7.82	-42	-5.05686328274099E-4
7.84	-19	-2.28762862790664E-4
7.86	28	3.37124218849399E-4
7.88	44	5.29766629620484E-4
7.9	10	1.20401506731928E-4
7.92	17	2.04682561444278E-4
7.94	19	2.28762862790664E-4
7.96	26	3.13043917503013E-4
7.98	33	3.97324972215363E-4
8	2	2.40803013463857E-5
8.02	14	1.685621094247E-4
8.04	33	3.97324972215363E-4
8.06	-3	-3.61204520195785E-5
8.08	-1	-1.20401506731928E-5
8.1	7	8.42810547123498E-5
8.12	-21	-2.52843164137049E-4
8.14	-26	-3.13043917503013E-4
8.16	-9	-1.08361356058735E-4
8.18	10	1.20401506731928E-4
8.2	32	3.8528482154217E-4
8.22	42	5.05686328274099E-4
8.24	20	2.40803013463857E-4
8.26	1	1.20401506731928E-5
8.28	1	1.20401506731928E-5
8.3	12	1.44481808078314E-4
8.32	36	4.33445424234942E-4
8.34	30	3.61204520195785E-4
8.36	31	3.73244670868978E-4
8.38	20	2.40803013463857E-4
8.4	21	2.52843164137049E-4
8.42	30	3.61204520195785E-4
8.44	73	8.78930999143076E-4
8.46	88	0.00105953325924097
8.48	53	6.3812798567922E-4
8.5	61	7.34449191064762E-4
8.52	34	4.09365122888556E-4
8.54	36	4.33445424234942E-4
8.56	77	9.27091601835848E-4
8.58	98	0.0011799347659729
8.6	67	8.06690095103919E-4
8.62	60	7.2240904039157E-4
8.64	55	6.62208287025606E-4
8.66	46	5.5384693096687E-4
8.68	59	7.10368889718377E-4
8.7	55	6.62208287025606E-4
8.72	97	0.0011678946152997
8.74	117	0.00140869762876356
8.76	131	0.00157725973818826
8.78	114	0.00137257717674398
8.8	55	6.62208287025606E-4
8.82	74	8.90971149816269E-4
8.84	97	0.0011678946152997
8.86	104	0.00125217567001205
8.88	116	0.00139665747809037
8.9	90	0.00108361356058735
8.92	52	6.26087835006027E-4
8.94	58	6.98328739045184E-4
8.96	94	0.00113177416328013
8.98	89	0.00107157340991416
9	120	0.00144481808078314
9.02	113	0.00136053702607079
9.04	109	0.00131237642337802
9.06	106	0.00127625597135844
9.08	142	0.00170970139559338
9.1	102	0.00122809536866567
9.12	93	0.00111973401260693
9.14	118	0.00142073777943675
9.16	128	0.00154113928616868
9.18	75	9.03011300489462E-4
9.2	98	0.0011799347659729
9.22	129	0.00155317943684187
9.24	115	0.00138461732741718
9.26	83	9.99332505875005E-4
9.28	68	8.18730245777112E-4
9.3	92	0.00110769386193374
9.32	135	0.00162542034088103
9.34	94	0.00113177416328013
9.36	79	9.51171903182233E-4
9.38	99	0.00119197491664609
9.4	81	9.75252204528619E-4
9.42	57	6.86288588371991E-4
9.44	68	8.18730245777112E-4
9.46	77	9.27091601835848E-4
9.48	81	9.75252204528619E-4
9.5	90	0.00108361356058735
9.52	79	9.51171903182233E-4
9.54	65	7.82609793757534E-4
9.56	85	0.00102341280722139
9.58	113	0.00136053702607079
9.6	85	0.00102341280722139
9.62	74	8.90971149816269E-4
9.64	87	0.00104749310856778
9.66	42	5.05686328274099E-4
9.68	24	2.88963616156628E-4
9.7	45	5.41806780293677E-4
9.72	87	0.00104749310856778
9.74	90	0.00108361356058735
9.76	52	6.26087835006027E-4
