Time [µs]	D2, v0J7	D2, v0J7
	150k shots	counts per shot
Laser Power [mJ]		power corrected
0	--	--
0.02	--	--
0.04	--	--
0.06	--	--
0.08	--	--
0.1	--	--
0.12	--	--
0.14	--	--
0.16	--	--
0.18	--	--
0.2	--	--
0.22	--	--
0.24	--	--
0.26	--	--
0.28	--	--
0.3	--	--
0.32	--	--
0.34	--	--
0.36	--	--
0.38	--	--
0.4	--	--
0.42	--	--
0.44	--	--
0.46	--	--
0.48	--	--
0.5	--	--
0.52	--	--
0.54	--	--
0.56	--	--
0.58	--	--
0.6	--	--
0.62	--	--
0.64	--	--
0.66	--	--
0.68	--	--
0.7	--	--
0.72	--	--
0.74	--	--
0.76	--	--
0.78	--	--
0.8	--	--
0.82	--	--
0.84	--	--
0.86	--	--
0.88	--	--
0.9	--	--
0.92	--	--
0.94	--	--
0.96	--	--
0.98	--	--
1	--	--
1.02	--	--
1.04	--	--
1.06	--	--
1.08	--	--
1.1	--	--
1.12	--	--
1.14	--	--
1.16	--	--
1.18	--	--
1.2	--	--
1.22	--	--
1.24	--	--
1.26	--	--
1.28	--	--
1.3	--	--
1.32	--	--
1.34	--	--
1.36	--	--
1.38	--	--
1.4	--	--
1.42	--	--
1.44	--	--
1.46	--	--
1.48	--	--
1.5	--	--
1.52	--	--
1.54	--	--
1.56	--	--
1.58	--	--
1.6	--	--
1.62	-7	-6.80262727495452E-5
1.64	-73	-7.09416844388114E-4
1.66	-33	-3.20695285819284E-4
1.68	20	1.94360779284415E-4
1.7	21	2.04078818248635E-4
1.72	-20	-1.94360779284415E-4
1.74	-35	-3.40131363747726E-4
1.76	-58	-5.63646259924803E-4
1.78	-19	-1.84642740320194E-4
1.8	18	1.74924701355973E-4
1.82	8	7.77443117137659E-5
1.84	-19	-1.84642740320194E-4
1.86	-35	-3.40131363747726E-4
1.88	13	1.2633450653487E-4
1.9	21	2.04078818248635E-4
1.92	-12	-1.16616467570649E-4
1.94	-4	-3.8872155856883E-5
1.96	-12	-1.16616467570649E-4
1.98	3	2.91541168926622E-5
2	5	4.85901948211037E-5
2.02	-7	-6.80262727495452E-5
2.04	-9	-8.74623506779866E-5
2.06	0	0
2.08	9	8.74623506779866E-5
2.1	-14	-1.3605254549909E-4
2.12	-26	-2.52669013069739E-4
2.14	29	2.81823129962401E-4
2.16	-25	-2.42950974105518E-4
2.18	-21	-2.04078818248635E-4
2.2	-7	-6.80262727495452E-5
2.22	6	5.83082337853244E-5
2.24	-26	-2.52669013069739E-4
2.26	-26	-2.52669013069739E-4
2.28	40	3.8872155856883E-4
2.3	20	1.94360779284415E-4
2.32	-12	-1.16616467570649E-4
