Time [µs]	D2, v0J5, 04.12.	D2, v0J5, 04.12.
	150k shots	counts per shot
Laser Power [mJ]		power corrected
4.46	31	3.02490174206794E-4
4.48	3	2.92732426651736E-5
4.5	-5	-4.87887377752893E-5
4.52	-25	-2.43943688876446E-4
4.54	-16	-1.56123960880926E-4
4.56	-1	-9.75774755505785E-6
4.58	18	1.75639455991041E-4
4.6	11	1.07335223105636E-4
4.62	12	1.17092970660694E-4
4.64	17	1.65881708435984E-4
4.66	28	2.7321693154162E-4
4.68	10	9.75774755505786E-5
4.7	13	1.26850718215752E-4
4.72	17	1.65881708435984E-4
4.74	12	1.17092970660694E-4
4.76	8	7.80619804404628E-5
4.78	-19	-1.85397203546099E-4
4.8	-8	-7.80619804404628E-5
4.82	-18	-1.75639455991041E-4
4.84	-3	-2.92732426651736E-5
4.86	39	3.80552154647256E-4
4.88	15	1.46366213325868E-4
4.9	27	2.63459183986562E-4
4.92	3	2.92732426651736E-5
4.94	18	1.75639455991041E-4
4.96	51	4.97645125307951E-4
4.98	48	4.68371882642777E-4
5	2	1.95154951101157E-5
5.02	-1	-9.75774755505785E-6
5.04	-4	-3.90309902202314E-5
5.06	18	1.75639455991041E-4
5.08	9	8.78197279955207E-5
5.1	33	3.22005669316909E-4
5.12	41	4.00067649757372E-4
5.14	27	2.63459183986562E-4
5.16	22	2.14670446211273E-4
5.18	21	2.04912698656215E-4
5.2	18	1.75639455991041E-4
5.22	41	4.00067649757372E-4
5.24	7	6.8304232885405E-5
5.26	-3	-2.92732426651736E-5
5.28	4	3.90309902202314E-5
5.3	-44	-4.29340892422546E-4
5.32	-72	-7.02557823964166E-4
5.34	-47	-4.58614135087719E-4
5.36	31	3.02490174206794E-4
5.38	35	3.41521164427025E-4
5.4	19	1.85397203546099E-4
5.42	10	9.75774755505786E-5
5.44	10	9.75774755505786E-5
5.46	21	2.04912698656215E-4
5.48	27	2.63459183986562E-4
5.5	14	1.3660846577081E-4
5.52	-14	-1.3660846577081E-4
5.54	15	1.46366213325868E-4
5.56	32	3.12247921761851E-4
5.58	6	5.85464853303471E-5
5.6	34	3.31763416871967E-4
5.62	13	1.26850718215752E-4
5.64	3	2.92732426651736E-5
5.66	-1	-9.75774755505785E-6
5.68	13	1.26850718215752E-4
5.7	1	9.75774755505785E-6
5.72	-12	-1.17092970660694E-4
5.74	18	1.75639455991041E-4
5.76	24	2.34185941321389E-4
5.78	-16	-1.56123960880926E-4
5.8	-28	-2.7321693154162E-4
5.82	-16	-1.56123960880926E-4
5.84	12	1.17092970660694E-4
5.86	-26	-2.53701436431504E-4
5.88	2	1.95154951101157E-5
5.9	59	5.75707105748413E-4
5.92	56	5.4643386308324E-4
5.94	-6	-5.85464853303471E-5
5.96	-30	-2.92732426651736E-4
5.98	-3	-2.92732426651736E-5
6	24	2.34185941321389E-4
6.02	1	9.75774755505785E-6
6.04	13	1.26850718215752E-4
6.06	-4	-3.90309902202314E-5
6.08	19	1.85397203546099E-4
6.1	-11	-1.07335223105636E-4
6.12	-6	-5.85464853303471E-5
6.14	8	7.80619804404628E-5
6.16	-9	-8.78197279955207E-5
6.18	23	2.24428193766331E-4
6.2	30	2.92732426651736E-4
6.22	25	2.43943688876446E-4
6.24	26	2.53701436431504E-4
6.26	14	1.3660846577081E-4
6.28	29	2.82974679096678E-4
6.3	-11	-1.07335223105636E-4
6.32	-14	-1.3660846577081E-4
6.34	-37	-3.61036659537141E-4
6.36	-8	-7.80619804404628E-5
6.38	25	2.43943688876446E-4
6.4	8	7.80619804404628E-5
6.42	-9	-8.78197279955207E-5
6.44	11	1.07335223105636E-4
6.46	1	9.75774755505785E-6
6.48	11	1.07335223105636E-4
6.5	12	1.17092970660694E-4
6.52	-2	-1.95154951101157E-5
6.54	6	5.85464853303471E-5
6.56	27	2.63459183986562E-4
6.58	21	2.04912698656215E-4
6.6	13	1.26850718215752E-4
6.62	17	1.65881708435984E-4
6.64	23	2.24428193766331E-4
6.66	2	1.95154951101157E-5
6.68	59	5.75707105748413E-4
6.7	0	0
6.72	-12	-1.17092970660694E-4
6.74	-11	-1.07335223105636E-4
6.76	-10	-9.75774755505786E-5
6.78	-10	-9.75774755505786E-5
6.8	-30	-2.92732426651736E-4
6.82	46	4.48856387532661E-4
6.84	18	1.75639455991041E-4
6.86	-21	-2.04912698656215E-4
6.88	-25	-2.43943688876446E-4
6.9	10	9.75774755505786E-5
6.92	27	2.63459183986562E-4
6.94	33	3.22005669316909E-4
6.96	56	5.4643386308324E-4
6.98	16	1.56123960880926E-4
7	19	1.85397203546099E-4
7.02	-1	-9.75774755505785E-6
7.04	27	2.63459183986562E-4
7.06	8	7.80619804404628E-5
7.08	58	5.65949358193356E-4
7.1	40	3.90309902202314E-4
7.12	26	2.53701436431504E-4
7.14	11	1.07335223105636E-4
7.16	-18	-1.75639455991041E-4
7.18	-5	-4.87887377752893E-5
7.2	18	1.75639455991041E-4
7.22	-10	-9.75774755505786E-5
7.24	-3	-2.92732426651736E-5
7.26	-29	-2.82974679096678E-4
7.28	-25	-2.43943688876446E-4
7.3	-60	-5.85464853303471E-4
7.32	-43	-4.19583144867488E-4
7.34	8	7.80619804404628E-5
7.36	43	4.19583144867488E-4
7.38	12	1.17092970660694E-4
7.4	15	1.46366213325868E-4
