Time [µs]	D2, v0J4, 04.12.	D2, v0J4, 04.12.
	100k shots	counts per shot
Laser Power [mJ]		power corrected
0	--	--
0.02	--	--
0.04	--	--
0.06	--	--
0.08	--	--
0.1	--	--
0.12	--	--
0.14	--	--
0.16	--	--
0.18	--	--
0.2	--	--
0.22	--	--
0.24	--	--
0.26	--	--
0.28	--	--
0.3	--	--
0.32	--	--
0.34	--	--
0.36	--	--
0.38	--	--
0.4	--	--
0.42	--	--
0.44	--	--
0.46	--	--
0.48	--	--
0.5	--	--
0.52	--	--
0.54	--	--
0.56	--	--
0.58	--	--
0.6	--	--
0.62	--	--
0.64	--	--
0.66	--	--
0.68	--	--
0.7	--	--
0.72	--	--
0.74	--	--
0.76	--	--
0.78	--	--
0.8	--	--
0.82	--	--
0.84	--	--
0.86	--	--
0.88	--	--
0.9	--	--
0.92	--	--
0.94	--	--
0.96	--	--
0.98	--	--
1	--	--
1.02	--	--
1.04	--	--
1.06	--	--
1.08	--	--
1.1	--	--
1.12	--	--
1.14	--	--
1.16	--	--
1.18	--	--
1.2	--	--
1.22	--	--
1.24	--	--
1.26	--	--
1.28	--	--
1.3	--	--
1.32	--	--
1.34	--	--
1.36	--	--
1.38	--	--
1.4	--	--
1.42	--	--
1.44	--	--
1.46	--	--
1.48	--	--
1.5	--	--
1.52	--	--
1.54	--	--
1.56	--	--
1.58	--	--
1.6	--	--
1.62	19	3.1782544758055E-4
1.64	-5	-8.36382756790921E-5
1.66	-8	-1.33821241086547E-4
1.68	8	1.33821241086547E-4
1.7	20	3.34553102716368E-4
1.72	9	1.50548896222366E-4
1.74	-13	-2.17459516765639E-4
1.76	16	2.67642482173095E-4
1.78	-9	-1.50548896222366E-4
1.8	1	1.67276551358184E-5
1.82	1	1.67276551358184E-5
1.84	16	2.67642482173095E-4
1.86	10	1.67276551358184E-4
1.88	-32	-5.3528496434619E-4
1.9	-23	-3.84736068123824E-4
1.92	-30	-5.01829654074553E-4
1.94	-18	-3.01097792444732E-4
1.96	-8	-1.33821241086547E-4
1.98	-8	-1.33821241086547E-4
2	-33	-5.52012619482008E-4
2.02	-7	-1.17093585950729E-4
2.04	-33	-5.52012619482008E-4
2.06	-8	-1.33821241086547E-4
2.08	-14	-2.34187171901458E-4
2.1	-27	-4.51646688667097E-4
2.12	17	2.84370137308913E-4
2.14	-25	-4.18191378395461E-4
2.16	-31	-5.18557309210371E-4
2.18	3	5.01829654074553E-5
2.2	11	1.84004206494003E-4
2.22	31	5.18557309210371E-4
2.24	39	6.52378550296919E-4
2.26	-5	-8.36382756790921E-5
2.28	-31	-5.18557309210371E-4
2.3	-15	-2.50914827037276E-4
2.32	8	1.33821241086547E-4
2.34	9	1.50548896222366E-4
2.36	25	4.18191378395461E-4
2.38	12	2.00731861629821E-4
2.4	3	5.01829654074553E-5
2.42	-5	-8.36382756790921E-5
2.44	-1	-1.67276551358184E-5
2.46	-4	-6.69106205432737E-5
2.48	6	1.00365930814911E-4
2.5	2	3.34553102716368E-5
2.52	18	3.01097792444732E-4
2.54	-4	-6.69106205432737E-5
2.56	27	4.51646688667097E-4
2.58	7	1.17093585950729E-4
2.6	-25	-4.18191378395461E-4
2.62	-21	-3.51280757852187E-4
2.64	-13	-2.17459516765639E-4
2.66	-7	-1.17093585950729E-4
2.68	-15	-2.50914827037276E-4
2.7	-5	-8.36382756790921E-5
2.72	2	3.34553102716368E-5
2.74	-14	-2.34187171901458E-4
2.76	4	6.69106205432737E-5
2.78	9	1.50548896222366E-4
2.8	-4	-6.69106205432737E-5
2.82	-10	-1.67276551358184E-4
2.84	6	1.00365930814911E-4
2.86	19	3.1782544758055E-4
2.88	10	1.67276551358184E-4
2.9	-8	-1.33821241086547E-4
2.92	6	1.00365930814911E-4
2.94	-2	-3.34553102716368E-5
2.96	16	2.67642482173095E-4
2.98	10	1.67276551358184E-4
3	18	3.01097792444732E-4
3.02	40	6.69106205432737E-4
3.04	-7	-1.17093585950729E-4
3.06	0	0
3.08	7	1.17093585950729E-4
3.1	-9	-1.50548896222366E-4
3.12	-16	-2.67642482173095E-4
3.14	-10	-1.67276551358184E-4
3.16	-13	-2.17459516765639E-4
3.18	-40	-6.69106205432737E-4
3.2	-39	-6.52378550296919E-4
3.22	-40	-6.69106205432737E-4
3.24	9	1.50548896222366E-4
3.26	17	2.84370137308913E-4
3.28	-12	-2.00731861629821E-4
3.3	-3	-5.01829654074553E-5
3.32	8	1.33821241086547E-4
3.34	7	1.17093585950729E-4
3.36	20	3.34553102716368E-4
3.38	4	6.69106205432737E-5
3.4	-10	-1.67276551358184E-4
3.42	4	6.69106205432737E-5
3.44	2	3.34553102716368E-5
3.46	-7	-1.17093585950729E-4
3.48	-2	-3.34553102716368E-5
3.5	-13	-2.17459516765639E-4
3.52	-22	-3.68008412988005E-4
3.54	0	0
3.56	-13	-2.17459516765639E-4
3.58	-17	-2.84370137308913E-4
3.6	-21	-3.51280757852187E-4
3.62	10	1.67276551358184E-4
3.64	1	1.67276551358184E-5
3.66	-11	-1.84004206494003E-4
3.68	11	1.84004206494003E-4
3.7	-11	-1.84004206494003E-4
3.72	-22	-3.68008412988005E-4
3.74	3	5.01829654074553E-5
3.76	-13	-2.17459516765639E-4
3.78	-1	-1.67276551358184E-5
3.8	-8	-1.33821241086547E-4
3.82	-17	-2.84370137308913E-4
3.84	0	0
3.86	17	2.84370137308913E-4
3.88	37	6.18923240025282E-4
3.9	32	5.3528496434619E-4
3.92	-7	-1.17093585950729E-4
3.94	-1	-1.67276551358184E-5
3.96	-24	-4.01463723259642E-4
3.98	5	8.36382756790921E-5
4	18	3.01097792444732E-4
4.02	-25	-4.18191378395461E-4
4.04	-13	-2.17459516765639E-4
4.06	21	3.51280757852187E-4
4.08	6	1.00365930814911E-4
4.1	7	1.17093585950729E-4
4.12	1	1.67276551358184E-5
4.14	-6	-1.00365930814911E-4
4.16	14	2.34187171901458E-4
4.18	-5	-8.36382756790921E-5
4.2	-10	-1.67276551358184E-4
4.22	-7	-1.17093585950729E-4
4.24	-2	-3.34553102716368E-5
4.26	-3	-5.01829654074553E-5
4.28	-37	-6.18923240025282E-4
4.3	-31	-5.18557309210371E-4
4.32	3	5.01829654074553E-5
4.34	10	1.67276551358184E-4
4.36	45	7.52744481111829E-4
4.38	37	6.18923240025282E-4
4.4	15	2.50914827037276E-4
4.42	4	6.69106205432737E-5
4.44	-28	-4.68374343802916E-4
4.46	16	2.67642482173095E-4
4.48	26	4.34919033531279E-4
4.5	25	4.18191378395461E-4
4.52	14	2.34187171901458E-4
4.54	-17	-2.84370137308913E-4
4.56	5	8.36382756790921E-5
4.58	14	2.34187171901458E-4
4.6	9	1.50548896222366E-4
4.62	-9	-1.50548896222366E-4
4.64	-21	-3.51280757852187E-4
4.66	-13	-2.17459516765639E-4
4.68	9	1.50548896222366E-4
4.7	13	2.17459516765639E-4
4.72	2	3.34553102716368E-5
4.74	-9	-1.50548896222366E-4
4.76	4	6.69106205432737E-5
4.78	9	1.50548896222366E-4
4.8	6	1.00365930814911E-4
4.82	-25	-4.18191378395461E-4
4.84	8	1.33821241086547E-4
4.86	-6	-1.00365930814911E-4
4.88	-31	-5.18557309210371E-4
4.9	-27	-4.51646688667097E-4
4.92	-8	-1.33821241086547E-4
4.94	5	8.36382756790921E-5
4.96	38	6.356508951611E-4
4.98	33	5.52012619482008E-4
5	18	3.01097792444732E-4
5.02	16	2.67642482173095E-4
5.04	15	2.50914827037276E-4
5.06	5	8.36382756790921E-5
5.08	5	8.36382756790921E-5
5.1	-1	-1.67276551358184E-5
5.12	27	4.51646688667097E-4
5.14	22	3.68008412988005E-4
5.16	11	1.84004206494003E-4
5.18	8	1.33821241086547E-4
5.2	-21	-3.51280757852187E-4
5.22	-28	-4.68374343802916E-4
5.24	0	0
5.26	7	1.17093585950729E-4
5.28	3	5.01829654074553E-5
5.3	-11	-1.84004206494003E-4
5.32	9	1.50548896222366E-4
5.34	-5	-8.36382756790921E-5
5.36	-7	-1.17093585950729E-4
5.38	18	3.01097792444732E-4
5.4	2	3.34553102716368E-5
5.42	-29	-4.85101998938734E-4
5.44	9	1.50548896222366E-4
5.46	14	2.34187171901458E-4
5.48	3	5.01829654074553E-5
5.5	16	2.67642482173095E-4
5.52	-15	-2.50914827037276E-4
5.54	-11	-1.84004206494003E-4
5.56	11	1.84004206494003E-4
5.58	3	5.01829654074553E-5
5.6	7	1.17093585950729E-4
5.62	2	3.34553102716368E-5
5.64	-25	-4.18191378395461E-4
5.66	7	1.17093585950729E-4
5.68	9	1.50548896222366E-4
5.7	-7	-1.17093585950729E-4
5.72	-14	-2.34187171901458E-4
5.74	9	1.50548896222366E-4
5.76	-1	-1.67276551358184E-5
5.78	1	1.67276551358184E-5
5.8	9	1.50548896222366E-4
5.82	-25	-4.18191378395461E-4
5.84	-5	-8.36382756790921E-5
5.86	3	5.01829654074553E-5
5.88	-24	-4.01463723259642E-4
5.9	-10	-1.67276551358184E-4
5.92	17	2.84370137308913E-4
5.94	-8	-1.33821241086547E-4
5.96	-43	-7.19289170840192E-4
5.98	-24	-4.01463723259642E-4
6	-6	-1.00365930814911E-4
6.02	28	4.68374343802916E-4
6.04	11	1.84004206494003E-4
6.06	27	4.51646688667097E-4
6.08	13	2.17459516765639E-4
6.1	0	0
6.12	-15	-2.50914827037276E-4
6.14	17	2.84370137308913E-4
6.16	-11	-1.84004206494003E-4
6.18	-6	-1.00365930814911E-4
6.2	5	8.36382756790921E-5
6.22	-8	-1.33821241086547E-4
6.24	2	3.34553102716368E-5
6.26	-12	-2.00731861629821E-4
6.28	-14	-2.34187171901458E-4
6.3	6	1.00365930814911E-4
6.32	16	2.67642482173095E-4
6.34	-3	-5.01829654074553E-5
6.36	9	1.50548896222366E-4
6.38	-3	-5.01829654074553E-5
6.4	-1	-1.67276551358184E-5
6.42	-15	-2.50914827037276E-4
6.44	15	2.50914827037276E-4
6.46	-14	-2.34187171901458E-4
6.48	-30	-5.01829654074553E-4
6.5	-24	-4.01463723259642E-4
6.52	-46	-7.69472136247647E-4
6.54	-21	-3.51280757852187E-4
6.56	16	2.67642482173095E-4
6.58	42	7.02561515704374E-4
6.6	24	4.01463723259642E-4
6.62	-16	-2.67642482173095E-4
6.64	-28	-4.68374343802916E-4
6.66	9	1.50548896222366E-4
6.68	7	1.17093585950729E-4
6.7	4	6.69106205432737E-5
6.72	1	1.67276551358184E-5
6.74	-5	-8.36382756790921E-5
6.76	10	1.67276551358184E-4
6.78	21	3.51280757852187E-4
6.8	-19	-3.1782544758055E-4
6.82	25	4.18191378395461E-4
6.84	6	1.00365930814911E-4
6.86	-32	-5.3528496434619E-4
6.88	-31	-5.18557309210371E-4
6.9	-8	-1.33821241086547E-4
6.92	10	1.67276551358184E-4
6.94	7	1.17093585950729E-4
6.96	13	2.17459516765639E-4
6.98	3	5.01829654074553E-5
7	24	4.01463723259642E-4
7.02	34	5.68740274617826E-4
7.04	6	1.00365930814911E-4
7.06	6	1.00365930814911E-4
7.08	-17	-2.84370137308913E-4
7.1	-34	-5.68740274617826E-4
7.12	-22	-3.68008412988005E-4
7.14	-36	-6.02195584889463E-4
7.16	-49	-8.19655101655103E-4
7.18	-14	-2.34187171901458E-4
7.2	-22	-3.68008412988005E-4
7.22	-30	-5.01829654074553E-4
7.24	-43	-7.19289170840192E-4
7.26	-4	-6.69106205432737E-5
7.28	3	5.01829654074553E-5
7.3	-15	-2.50914827037276E-4
7.32	-5	-8.36382756790921E-5
7.34	31	5.18557309210371E-4
7.36	59	9.86931653013287E-4
7.38	33	5.52012619482008E-4
7.4	7	1.17093585950729E-4
7.42	-25	-4.18191378395461E-4
7.44	11	1.84004206494003E-4
7.46	-20	-3.34553102716368E-4
7.48	-25	-4.18191378395461E-4
7.5	16	2.67642482173095E-4
7.52	-18	-3.01097792444732E-4
7.54	-29	-4.85101998938734E-4
7.56	-12	-2.00731861629821E-4
7.58	-1	-1.67276551358184E-5
7.6	4	6.69106205432737E-5
7.62	25	4.18191378395461E-4
7.64	18	3.01097792444732E-4
7.66	18	3.01097792444732E-4
7.68	-17	-2.84370137308913E-4
7.7	-49	-8.19655101655103E-4
7.72	-26	-4.34919033531279E-4
7.74	-1	-1.67276551358184E-5
7.76	-15	-2.50914827037276E-4
7.78	18	3.01097792444732E-4
7.8	9	1.50548896222366E-4
7.82	6	1.00365930814911E-4
7.84	23	3.84736068123824E-4
7.86	6	1.00365930814911E-4
7.88	-6	-1.00365930814911E-4
7.9	24	4.01463723259642E-4
7.92	-25	-4.18191378395461E-4
7.94	35	5.85467929753645E-4
7.96	26	4.34919033531279E-4
7.98	25	4.18191378395461E-4
8	-1	-1.67276551358184E-5
8.02	44	7.36016825976011E-4
8.04	65	0.0010872975838282
8.06	-4	-6.69106205432737E-5
8.08	-18	-3.01097792444732E-4
8.1	-3	-5.01829654074553E-5
8.12	31	5.18557309210371E-4
8.14	-4	-6.69106205432737E-5
8.16	-1	-1.67276551358184E-5
8.18	47	7.86199791383466E-4
8.2	4	6.69106205432737E-5
8.22	25	4.18191378395461E-4
8.24	36	6.02195584889463E-4
8.26	34	5.68740274617826E-4
8.28	44	7.36016825976011E-4
8.3	76	0.0012713017903222
8.32	59	9.86931653013287E-4
8.34	32	5.3528496434619E-4
8.36	29	4.85101998938734E-4
8.38	48	8.02927446519284E-4
8.4	65	0.0010872975838282
8.42	89	0.00148876130708784
8.44	49	8.19655101655103E-4
8.46	48	8.02927446519284E-4
8.48	75	0.00125457413518638
8.5	66	0.00110402523896402
8.52	62	0.00103711461842074
8.54	68	0.00113748054923565
8.56	91	0.00152221661735948
8.58	110	0.00184004206494003
8.6	95	0.00158912723790275
8.62	113	0.00189022503034748
8.64	106	0.00177313144439675
8.66	111	0.00185676972007585
8.68	108	0.00180658675466839
8.7	116	0.00194040799575494
8.72	131	0.00219132282279221
8.74	100	0.00167276551358184
8.76	157	0.00262624185632349
8.78	141	0.0023585993741504
8.8	106	0.00177313144439675
8.82	99	0.00165603785844602
8.84	118	0.00197386330602657
8.86	134	0.00224150578819967
8.88	150	0.00250914827037276
8.9	128	0.00214113985738476
8.92	164	0.00274333544227422
8.94	128	0.00214113985738476
8.96	81	0.00135494006600129
8.98	144	0.00240878233955785
9	129	0.00215786751252058
9.02	107	0.00178985909953257
9.04	87	0.0014553059968162
9.06	119	0.00199059096116239
9.08	85	0.00142185068654457
9.1	55	9.20021032470013E-4
9.12	126	0.00210768454711312
9.14	135	0.00225823344333549
9.16	135	0.00225823344333549
9.18	135	0.00225823344333549
9.2	93	0.00155567192763111
9.22	47	7.86199791383466E-4
9.24	124	0.00207422923684148
9.26	148	0.00247569296010113
9.28	91	0.00152221661735948
9.3	94	0.00157239958276693
9.32	104	0.00173967613412512
9.34	106	0.00177313144439675
9.36	106	0.00177313144439675
9.38	117	0.00195713565089076
9.4	92	0.0015389442724953
9.42	95	0.00158912723790275
9.44	79	0.00132148475572966
9.46	77	0.00128802944545802
9.48	58	9.70203997877468E-4
9.5	53	8.86565722198376E-4
9.52	72	0.00120439116977893
9.54	53	8.86565722198376E-4
9.56	66	0.00110402523896402
9.58	52	8.69838067062558E-4
9.6	78	0.00130475710059384
9.62	36	6.02195584889463E-4
9.64	34	5.68740274617826E-4
9.66	42	7.02561515704374E-4
9.68	51	8.5311041192674E-4
9.7	51	8.5311041192674E-4
9.72	24	4.01463723259642E-4
9.74	33	5.52012619482008E-4
9.76	55	9.20021032470013E-4
9.78	82	0.00137166772113711
9.8	62	0.00103711461842074
9.82	47	7.86199791383466E-4
9.84	53	8.86565722198376E-4
9.86	54	9.03293377334195E-4
